Date 01/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.64,66,29,40,51,53,44.5,41,37.94,44,40.5,40,47.67,54.5,40,39,41.08,42.25,39.06,53.83,48.77,47,38.19,48.47,37.33,49.2,43.47,39.37,65,39.71,37.75,51.5,57.5,56.44,37.75,39.9,35,42.33
Unit:(Rs./Kg.),Wheat,32.08,58,24,30,,42.67,45,37.18,28.94,31,35.5,30,39.33,50,33.25,30,24,33.5,31.53,42.72,47.18,,29.81,40.05,42.75,41.71,42.57,38.06,48,26.93,29,39.5,45.46,41,,28.14,24,30.17
,Atta (Wheat),37.07,70,28,35,69,46,43,39.27,34.58,36,39,34,44.67,45,36.25,32.67,35.67,39.5,36,44.24,46,43,34.26,44.47,41.56,47.5,48.27,42.32,45,32.5,32.75,39,55.81,43.78,40,33.55,38,38.93
,Gram Dal,95.71,145,70,90,110.33,106.67,103,95.95,88.42,90,102,100,99.33,106.5,89.5,93,98.92,95.5,92.88,95.86,111.58,132.5,92.76,99.79,110.2,101.29,96.5,97.56,93,99.93,91.25,98,102.69,91.78,99.67,89.84,90,89.8
,Tur/Arhar Dal,162.13,195,131,160,176,170,179.5,168.95,156.08,165,156,163,161.67,166.5,168.75,167,167.25,157.33,160.47,159.72,176.83,180,156.71,166.58,178.25,156.43,167.89,156.11,182,167.93,168.25,170,170.42,163.22,164,154.36,163,163.27
,Urad Dal,125.75,170,85,125,163,132.33,128.25,111.9,121.19,125,117,143,142.33,155,126.5,117.33,132.92,127,122.12,131.45,142.91,141,118.52,130.11,133,141.17,121.11,119.06,149,132.43,124.5,131.5,137.81,128.67,129,119.69,115,123.87
,Moong Dal,116.9,160,87,120,137.67,119.67,118.25,116.64,113.36,116,117,123,125.33,131.5,115.75,117.33,115.42,124.25,114.82,118.62,131.92,128.5,109.29,120.16,122.78,138.5,121.4,113.11,115,117.36,113,130,121.08,115.67,111.75,111.84,116,115.87
,Masoor Dal,90.18,160,74,90,104,91.67,101.25,91.36,80.5,90,84,90,92.33,100.5,85.75,85.33,87.42,108.5,82.18,92.66,102.67,131.5,86.4,93.58,87.33,98.3,97.47,82.89,93,93.21,85.75,97.5,92.61,93.22,105.5,87.47,98,94.13
,Sugar,45.24,60,38,45,54,44,53.75,47.32,44.61,45,44,45,44,44,42.75,44.67,47,51.5,45.56,42.83,44,55,42.93,43.74,49.44,51.5,50.47,44.74,48,44.86,41.5,52.25,44.35,40.44,49.5,44.09,45,46.47
,Milk @,59.29,83,39,60,73.67,59.33,75.25,72.7,56.44,60,68,56,65.67,59,62.25,57,52.92,54.25,59.4,50.97,54.54,60,55.88,59.21,73.56,78.6,73.08,53.29,48,60,50.75,63.75,47.15,58.22,74.25,61.9,67,56.27
,Groundnut Oil (Packed),196.4,275,132,190.5,237,180,169,203.29,193.13,183,221,216,217.33,241,189.75,219,225.75,,191.08,182.14,235.33,,193.1,197.16,,152,200,196.5,233,233.17,182.25,,214.88,170.89,,199.79,179,204.29
,Mustard Oil (Packed),165.91,209,124,165,163.33,169.67,176.67,168.95,155.63,139,163,178,190.33,177.5,177.25,161.33,185.08,182.33,170.94,170.72,191.78,176,163.64,181.83,157.78,180.22,150.4,179.11,148,169.71,143.75,185,184.16,164.78,177.25,160.74,157,163.73
,Vanaspati (Packed),141.01,209,92,143,163,138.67,129,142.78,133.17,124,124,161,159.67,161,138,140.67,155.58,151.75,141.82,125.72,168.25,177,136.55,146.63,157,134.43,152.33,138.78,145,159.5,126.5,137.75,152.04,112.75,139,139.34,157,136.67
,Soya Oil (Packed),140.45,192,92,148,,133,141.75,141.86,136.17,119,127,156,151.67,165,139.75,138.33,145.8,148.5,143.94,135.28,148,190,138.74,145.37,149.44,129.3,154.13,142.33,,150.85,120.75,155,,114.71,146.5,139.62,142,132.13
,Sunflower Oil (Packed),144.47,220,105,148,134.67,156.33,166,145.82,151.9,120,141,156,160.67,151.5,142.75,147.67,150.75,156.75,155.73,138.79,152.85,,143.39,151,220,147.2,171.5,145.68,126,156.75,142.33,152,145.85,136.56,168,146.93,166,140.21
,Palm Oil (Packed),125.41,170,90,137,120,132.5,,119.69,114.46,100,156,134,122.33,135,138.5,120.33,114.5,132,123.41,122.21,146.6,,116.65,134.19,100,121.43,155.5,127.31,115,133.18,,,132.72,122.22,130,118.93,,118.21
,Gur,56.28,130,38,50,75.67,59,85.75,61.09,47.81,55,50.5,62,67,59,55,53.67,50,52.5,51.63,51.62,59.83,70,50.86,55.58,78.5,106.8,77.33,53.26,60,52.79,42,61.67,58.85,53.22,72,52.14,57,53.93
,Tea Loose,269.28,520,154,200,309,291.33,355,242,271.11,269,223,245,262.33,322.5,208,249.33,267.92,311.25,251.13,241.66,231.3,480,228.5,307.05,357,488.6,304.64,268.5,332,272.86,323.33,390,288.89,283.88,227.75,236.22,280,257.8
,Salt Pack (Iodised),22.14,30,10,27,19.67,20,19.5,13.05,23.42,28,20.5,27,27.33,25.5,19.5,24,27.83,28,25.13,18.07,15.08,28,16.81,24.16,19,29.8,17.73,26.58,26,26.43,18,22,24.88,20.33,11,26.41,28,23.2
,Potato,37.18,71,24,40,68,42,38.5,33.5,32.53,39,40.5,33,36,48.5,38.5,33,37.75,36,35.24,40.34,49.69,45,33.63,40.53,38.78,48.5,42,32.68,50,30.79,37.5,41.75,50.77,38.11,37,31.07,35,30.2
,Onion,55.14,90,30,60,81.67,50.67,60.25,62.95,49.56,52,60.5,57,60,52.5,52.5,59,62.83,63.75,52.82,45.48,61.58,70,48.76,50.16,72,64.1,70.4,54.53,60,59,47,70,59.5,47.44,66.75,49.98,59,56.6
,Tomato,59.34,150,26,60,133.33,39.33,79.25,64.57,56.72,60,50.5,62,54.67,60,48.75,84.67,69.67,79,70.59,42.14,43.25,80,54.17,52.68,61.22,102.1,75.13,57.79,48,58.86,52.75,73.75,46.23,50.44,75.75,57.44,70,67.4
