,Date 05/06/2026
Rice,43.24
Wheat,30.72
Atta (Wheat),36.77
Gram Dal,85.18
Tur/Arhar Dal,122.49
Urad Dal,118.25
Moong Dal,111.43
Masoor Dal,89.87
Sugar,46.8
Milk @,60.24
Groundnut Oil (Packed),202.91
Mustard Oil (Packed),190.69
Vanaspati (Packed),162.3
Soya Oil (Packed),161.45
Sunflower Oil (Packed),186.04
Palm Oil (Packed),146.56
Gur,58.23
Tea Loose,272.14
Salt Pack (Iodised),21.63
Potato,21.25
Onion,26.27
Tomato,37.31
Bajra (whole),37.93
Jowar (whole),44.4
Maida (wheat),41.55
Ragi (whole),54.56
Suji (whole),46.64
Besan,95.32
Desi Ghee,688.29
Butter (Pasteurised),59.22
Eggs,79.63
Brinjal,40.73
Black Pepper (whole),87.59
Coriander (whole),39.46
Cummin Seed (whole),40.79
Red Chillies (whole),29.01
Turmeric (powder),16.49
Banana,48.77
Ginger,28.46
Garlic,37.9
