Date 02/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.87,65,,
Unit:(Rs./Kg.),Wheat,31.91,58,,
,Atta (Wheat),37.59,71,,
,Gram Dal,87.68,140,,
,Tur/Arhar Dal,131,182,,
,Urad Dal,119.09,156,,
,Moong Dal,112.06,150,,
,Masoor Dal,88.42,130,,
,Sugar,45.65,60,,
,Milk @,58.36,80,,
,Groundnut Oil (Packed),191.38,279,,
,Mustard Oil (Packed),169.47,234,,
,Vanaspati (Packed),152.78,209,,
,Soya Oil (Packed),146.28,192,,
,Sunflower Oil (Packed),158.61,211,,
,Palm Oil (Packed),138.67,177,,
,Gur,54,130,,
,Tea Loose,271.79,520,,
,Salt Pack (Iodised),21.31,31,,
,Potato,23.53,57,,
,Onion,31.48,80,,
,Tomato,20.93,100,,
