Date 02/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.79,64,,
Unit:(Rs./Kg.),Wheat,31.37,55,,
,Atta (Wheat),37.15,71,,
,Gram Dal,86.88,140,,
,Tur/Arhar Dal,127.25,185,,
,Urad Dal,117.99,155,,
,Moong Dal,112.01,150,,
,Masoor Dal,88.01,130,,
,Sugar,45.79,60,,
,Milk @,58.91,80,,
,Groundnut Oil (Packed),190.02,279,,
,Mustard Oil (Packed),169.6,242,,
,Vanaspati (Packed),155.11,214,,
,Soya Oil (Packed),147.06,192,,
,Sunflower Oil (Packed),160.77,211,,
,Palm Oil (Packed),136.68,189,,
,Gur,54.65,120,,
,Tea Loose,271,600,,
,Salt Pack (Iodised),21.38,31,,
,Potato,23.96,60,,
,Onion,27.78,67,,
,Tomato,21.97,100,,
