Date 26/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.49,68,27,40,51.5,52.8,46,41.48,37.87,44,37.5,38,52,54.5,38.57,39.25,41.25,44.29,39.12,53.68,49.57,47.5,38.22,47.58,37.33,50,43.21,39.46,65,40.27,42.1,49,57.66,55.8,38.25,39.45,38,44.04
Unit:(Rs./Kg.),Wheat,31.99,58,22,30,,41.4,45,37.08,29.18,31,33.38,30,39.5,50,34.71,29.25,24,34.2,32.06,42.84,47,,30.08,40,43.63,42.13,43.33,38.59,48,29.4,29.48,38.5,46.1,40.5,,28.8,29,30.7
,Atta (Wheat),37.05,70,29,35,67.5,44.6,43.67,39.96,34.92,36,38.38,35,47,45.5,36.14,34.25,36.5,40.43,36.65,44.81,46.79,43,34.57,44.58,42.78,48.27,50.14,42.65,47,34.8,33.58,39.33,54.84,44.1,42.25,34.08,35,39.7
,Gram Dal,94.93,145,70,90,115,98.6,106.67,96.08,89.63,90,97.88,93,103,113.5,93.14,92.25,96.5,96.43,92,95.06,114.08,132.5,92.33,99.32,109.67,101.38,101.36,97.17,102,96.73,89.19,100.83,102.28,89.8,99.33,88.47,88.67,91.3
,Tur/Arhar Dal,160.92,193,117,160,168.5,169.2,174.33,165.72,155.32,165,158.38,150,169,166,164.43,166.75,162.92,169.17,158.59,157.35,174.15,173,156.41,167.16,179.2,157.29,163.56,157.38,185,167.87,161.39,170,171.56,162.8,159.67,151.99,164,164.96
,Urad Dal,124.62,173,85,120,151.5,131.6,126.67,111.3,121.37,125,117.75,138,150.5,155,122.57,118.25,133.08,128.86,122.29,130.71,143.17,141,118.45,129.58,133,135.29,121.25,119.17,151,131.2,120,126.67,137.41,128.6,128.33,119.16,120.67,125.43
,Moong Dal,115.74,160,87,120,126,122.2,116.67,115.32,112.92,116,114.88,118,125,131.5,111.71,117.25,115.92,123.29,113.59,118.32,132.23,130,109.39,121.05,123.11,140,121.33,114.79,113,115.6,106.97,126.67,121.5,116,113.75,109.8,115,118.52
,Masoor Dal,90.28,160,73,90,100,94.2,103.33,91.48,80.79,90,92.63,90,95.5,100.5,86.86,86,87.5,102.43,82.29,93.97,102.31,130,86.59,94.16,87.89,98.45,98.33,83.17,98,92.8,86.68,94.17,92.66,92.6,105.5,86.71,104.67,98.09
,Sugar,44.87,60,34,45,54,43.8,55,47.52,44.68,45,43.38,45,43,44.5,42.86,44.75,47.25,50.14,45.24,42.87,43.71,55,42.55,43.47,49,52.18,49.93,44.79,49,44.53,42.7,51.5,44.19,40.2,49.75,43.8,44.67,46
,Milk @,58.65,85,39,60,73.5,58.6,75.67,72.68,56.42,60,59.75,56,66,59,63.14,58.25,53,51.57,59.06,51.06,54.57,60,55.39,59.32,73.44,78.91,73.23,53.26,48,59.8,52.55,64.17,47.44,58.2,74.25,61.97,63,56.13
,Groundnut Oil (Packed),194.78,275,132,176,228,172.8,169,206.86,196.88,183,197.29,216,214.5,242.5,188.71,211.75,225.75,,197.23,185.68,229.33,,194.47,196.32,,153,,206,247,233.54,187.57,,213,168.4,,198.9,178,211.56
,Mustard Oil (Packed),168.16,221,124,181,180.5,176.2,179,171.36,163.61,139,162.5,178,191.5,184,175.43,155.25,188.08,189,169.82,171.19,200.4,183,165.27,182.5,167.78,181.89,155.93,180.29,137,170.93,152.48,188.67,186.52,163.6,179.25,161.69,159.33,165.09
,Vanaspati (Packed),144.27,209,92,143,167,131,138,148.21,141.76,124,130.63,167,171.5,163,139.86,138.75,162.58,156.29,147.82,131.35,175.08,172,139.6,148.95,159.33,136.71,156,149.05,146,166.8,129.9,140.83,159.53,114,139,140.55,152.33,139.27
,Soya Oil (Packed),142.77,198,92,154,,143.5,149,146.96,144.82,119,134.88,161,151.5,169.5,143.29,139.25,149,147.29,146.82,138.61,146,192,142.84,150.21,153.44,139,158.87,150.5,,157.8,132.5,151.5,,115.88,153.25,140.79,145,136.78
,Sunflower Oil (Packed),150.67,253,108,159,137,150.4,166,150.42,157.13,120,139.38,163,162,165.5,143.86,146.5,151.75,162.8,159.53,145.9,162.79,,148.73,155.26,215.5,148.25,171.5,152.92,135,161.38,142.05,172,155.59,138.7,175,148.66,155.33,147.39
,Palm Oil (Packed),130.4,166,90,144,120.5,128,,121.33,124.72,100,127,141,127,143,137,117.25,114.5,133,124.47,125.97,149.73,,119.52,139.69,125,120.57,146,136.47,121,139.33,111.56,,142.34,124.6,134.33,121.07,149,123.35
,Gur,55.07,130,35,50,73,59.2,85.67,61.76,47.89,55,51.5,60,65,61.5,55.14,53.75,50,52.57,50.88,52.16,62.15,70,49.98,54.95,78.4,106.8,76.67,53.25,58,50.87,45.37,61,58.13,53.3,73,51.44,57.33,53.96
,Tea Loose,270.8,520,154,200,321,276.8,340,243.04,274.81,269,220.5,245,300,322.5,210.43,238.75,271.5,316.86,248.24,244.58,233.64,480,228.39,308.32,366.78,491.45,321,283.85,335,275.13,294.08,378.33,284,285.2,232,237.69,277,272.26
,Salt Pack (Iodised),21.96,31,9,27,19.5,19.6,20,13.16,23.53,28,20,27,28,25.5,18.71,24.75,27.92,28,24.76,18,15,28,15.88,24.16,19.11,29.82,18.33,25.92,26,26.6,19.64,21.33,25,19.8,10.5,25.8,28.67,23.74
,Potato,37.53,70,20,40,65,42,40,34,32.87,39,38.5,35,39,52.5,37.43,32.75,38.17,39.29,35.35,40.35,51.38,42.5,33.41,42.05,41.44,49.64,41.6,34.38,48,33.33,37.42,43.5,51.19,36.6,40.5,31.33,41.67,32.59
,Onion,55.56,100,24,60,100,51.4,64.33,60.96,52.29,52,54.25,53,53,65,56,53.75,60.33,64.14,58.53,46.23,73.54,70,45.24,57.42,71.89,66,74.8,56.79,57,53.13,48.48,73.33,65.16,46.2,68.25,48.61,57.33,58.09
,Tomato,51.11,127,19,50,90,38.8,73,64.67,54.21,60,38.13,50,38.5,44,44,62.5,59,56.14,56.24,34.32,38.23,80,45.35,43.16,58.78,94.09,73.33,50.21,31,52,52.45,68.33,40.88,41.9,65.5,46.59,44,59.77
