Date 12/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.65,64,,
Unit:(Rs./Kg.),Wheat,31.27,55,,
,Atta (Wheat),36.76,68,,
,Gram Dal,86.71,140,,
,Tur/Arhar Dal,126.11,190,,
,Urad Dal,117.49,153,,
,Moong Dal,111.5,150,,
,Masoor Dal,88.03,130,,
,Sugar,45.74,62,,
,Milk @,59.04,82,,
,Groundnut Oil (Packed),189.05,264,,
,Mustard Oil (Packed),169.72,242,,
,Vanaspati (Packed),155.12,220,,
,Soya Oil (Packed),148.22,196,,
,Sunflower Oil (Packed),161.27,209,,
,Palm Oil (Packed),135.85,176,,
,Gur,54.69,120,,
,Tea Loose,267.79,520,,
,Salt Pack (Iodised),21.22,32,,
,Potato,24.49,55,,
,Onion,27.09,60,,
,Tomato,22.51,100,,
