Date 08/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.2,67,,
Unit:(Rs./Kg.),Wheat,32.96,56,,
,Atta (Wheat),38.34,71,,
,Gram Dal,88.54,140,,
,Tur/Arhar Dal,134.65,181,,
,Urad Dal,119.89,156,,
,Moong Dal,112.12,147,,
,Masoor Dal,88.15,130,,
,Sugar,45.69,60,,
,Milk @,58.84,82,,
,Groundnut Oil (Packed),191.18,279,,
,Mustard Oil (Packed),168.88,213,,
,Vanaspati (Packed),151.47,209,,
,Soya Oil (Packed),146.33,192,,
,Sunflower Oil (Packed),158.33,206,,
,Palm Oil (Packed),137.08,180,,
,Gur,54.01,130,,
,Tea Loose,270.12,520,,
,Salt Pack (Iodised),21.54,31,,
,Potato,23.51,60,,
,Onion,36.5,80,,
,Tomato,21.23,100,,
