Date 01/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.68,63,,
Unit:(Rs./Kg.),Wheat,31.28,55,,
,Atta (Wheat),36.66,71,,
,Gram Dal,86.11,140,,
,Tur/Arhar Dal,121.67,183,,
,Urad Dal,115.77,180,,
,Moong Dal,110.87,149,,
,Masoor Dal,88.12,130,,
,Sugar,45.99,62,,
,Milk @,58.93,82,,
,Groundnut Oil (Packed),188.15,279,,
,Mustard Oil (Packed),174.15,242,,
,Vanaspati (Packed),156.24,231,,
,Soya Oil (Packed),146.58,187,,
,Sunflower Oil (Packed),160.07,231,,
,Palm Oil (Packed),131.32,182,,
,Gur,55.53,133,,
,Tea Loose,270.19,600,,
,Salt Pack (Iodised),21.44,32,,
,Potato,25.62,60,,
,Onion,27.85,60,,
,Tomato,36.82,120,,
