,Date 12/03/2026
Rice,43.21
Wheat,31.18
Atta (Wheat),36.91
Gram Dal,85.69
Tur/Arhar Dal,122.24
Urad Dal,117.18
Moong Dal,110.85
Masoor Dal,89.48
Sugar,46.41
Milk @,59.34
Groundnut Oil (Packed),196.6
Mustard Oil (Packed),186.59
Vanaspati (Packed),156.91
Soya Oil (Packed),151.64
Sunflower Oil (Packed),178.72
Palm Oil (Packed),138.39
Gur,57.1
Tea Loose,272.92
Salt Pack (Iodised),21.68
Potato,21.08
Onion,26.24
Tomato,28.93
Bajra (whole),37.75
Jowar (whole),43.87
Maida (wheat),41.71
Ragi (whole),54.52
Suji (whole),46.66
Besan,95.68
Desi Ghee,681.19
Butter (Pasteurised),58.9
Eggs,79.34
Brinjal,38.87
Black Pepper (whole),87.24
Coriander (whole),37.94
Cummin Seed (whole),40.59
Red Chillies (whole),28.29
Turmeric (powder),16.42
Banana,47.81
Ginger,25.04
Garlic,37.78
