Date 15/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.49,65,,
Unit:(Rs./Kg.),Wheat,32.62,50,,
,Atta (Wheat),37.66,65,,
,Gram Dal,93.33,140,,
,Tur/Arhar Dal,157.15,185,,
,Urad Dal,123.65,160,,
,Moong Dal,112.89,150,,
,Masoor Dal,88.41,140,,
,Sugar,44.39,60,,
,Milk @,58.54,82,,
,Groundnut Oil (Packed),193.33,253,,
,Mustard Oil (Packed),170.93,212,,
,Vanaspati (Packed),146.08,186,,
,Soya Oil (Packed),145.34,192,,
,Sunflower Oil (Packed),154.21,210,,
,Palm Oil (Packed),134.9,166,,
,Gur,53.74,130,,
,Tea Loose,265.43,520,,
,Salt Pack (Iodised),22.65,31,,
,Potato,35.86,70,,
,Onion,49.84,80,,
,Tomato,44.15,100,,
