,Date 06/08/2026
Rice,45.33
Broken Rice,33.19
Wheat,31.4
Atta (Wheat),37.11
Gram Dal,86.68
Tur/Arhar Dal,123.49
Urad Dal,121.75
Moong Dal,111.89
Masoor Dal,90.31
Sugar,50.14
Milk @,61.01
Groundnut Oil (Packed),206.35
Mustard Oil (Packed),196.85
Vanaspati (Packed),165.87
Soya Oil (Packed),164.46
Sunflower Oil (Packed),190.03
Palm Oil (Packed),148.52
Gur,60.15
Tea Loose,275.57
Salt Pack (Iodised),22.13
Potato,22.87
Onion,35.57
Tomato,38.81
Bajra (whole),38.2
Jowar (whole),44.47
Maida (wheat),42.31
Ragi (whole),55.1
Suji (whole),47.38
Besan,96.11
Desi Ghee,694.91
Butter (Pasteurised),60.14
Eggs,85.91
Brinjal,43.88
Black Pepper (whole),88.46
Coriander (whole),42.17
Cummin Seed (whole),41.15
Red Chillies (whole),29.88
Turmeric (powder),16.68
Banana,50.26
Ginger,37.43
Garlic,43.76
