,Date 20/05/2026
Rice,43.24
Wheat,30.92
Atta (Wheat),36.71
Gram Dal,85.02
Tur/Arhar Dal,122.72
Urad Dal,118.21
Moong Dal,111.48
Masoor Dal,89.87
Sugar,46.65
Milk @,60.16
Groundnut Oil (Packed),201.52
Mustard Oil (Packed),189.43
Vanaspati (Packed),161.37
Soya Oil (Packed),159.89
Sunflower Oil (Packed),185.7
Palm Oil (Packed),144.53
Gur,57.98
Tea Loose,274.91
Salt Pack (Iodised),21.68
Potato,21.01
Onion,25.59
Tomato,36.91
Bajra (whole),37.61
Jowar (whole),43.76
Maida (wheat),41.94
Ragi (whole),54.82
Suji (whole),47.03
Besan,95.87
Desi Ghee,686.07
Butter (Pasteurised),59.13
Eggs,79.0
Brinjal,40.18
Black Pepper (whole),87.53
Coriander (whole),39.0
Cummin Seed (whole),40.99
Red Chillies (whole),28.79
Turmeric (powder),16.44
Banana,48.24
Ginger,27.52
Garlic,37.42
