Date 25/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.79,68,27,40,51.5,53.6,44.5,41.65,37.79,44,38,38,52,54.5,39.67,41,41.25,44.29,39.35,53.94,49.23,47.5,38.04,47.63,37.5,50.18,43.21,39.63,65,40.07,42.21,49,57.97,55.8,38.25,39.43,38.5,44.23
Unit:(Rs./Kg.),Wheat,32.03,54,22,30,,41.8,45,35.25,29.18,31,34.29,30,39.5,50,34.83,30,24,34.2,32,42.84,47.91,,30.15,40.05,43.56,42.13,43.33,38.93,48,29.5,29.41,38.5,46.16,40.5,,28.78,26,30.7
,Atta (Wheat),37.1,70,29,35,69,45,43,39.65,34.71,36,37.86,35,47,45.5,36.67,33.5,36.5,40.43,36.59,44.75,47.31,43,34.6,44.63,42.7,48.27,49.15,43.42,47,34.64,33.66,39.33,54.97,44.1,42.25,34.12,36,39.55
,Gram Dal,95.19,145,70,90,117.5,99,106.75,95.91,89.29,90,97.43,92,103,113.5,92.5,97,96.67,96.43,91.88,95.28,114.08,132.5,92.48,99.58,109.67,101.38,101.36,99.39,102,96.79,89.45,100.83,102.21,89.7,99.33,88.53,94,91.86
,Tur/Arhar Dal,161.31,193,117,160,169.5,169.6,178.75,166.13,156,165,159.29,153,169,166,164.5,168.5,163.08,169.67,159,158,173.17,167,157.33,167.37,179.2,157.29,163.78,157.95,185,167.86,160.9,170,171.74,162.8,159.67,152.17,168,165.05
,Urad Dal,124.97,173,85,120,153.5,132,126.75,110.76,121.56,125,119.14,135,150.5,155,126.83,119,133,128.86,122.29,130.69,142.73,139.5,118.81,129.79,133,135.29,121.25,119.28,151,131.64,119.86,126.67,137.15,128.6,128.33,119.21,118.5,125.59
,Moong Dal,115.87,160,87,120,129.5,122.6,118,115.57,112.71,116,115.43,118,125,131.5,113,119,115.92,123.29,113.47,118.03,131.75,130,109.56,121,123.8,140,121.33,114.74,113,115.14,107.28,126.67,121.09,116,113.75,109.85,114.5,118.59
,Masoor Dal,90.19,140,73,90,102.5,94.8,100.75,91.57,80.56,90,90.43,90,95,100.5,87.17,87.5,87.33,102.43,82.06,93.72,97.5,130,86.46,94.32,88.1,98.45,98.33,83.11,98,93,86.62,94.17,92.57,92.6,105.5,86.72,96.5,98
,Sugar,44.92,60,33,45,54,44.25,53.75,47.57,44.65,45,43.71,45,43,44.5,43,44.5,47.08,50.14,45.24,42.91,43.58,55,42.6,43.47,49.3,52.18,49.93,44.94,49,44.57,42.72,51.5,44.12,40.2,49.75,43.81,45,46
,Milk @,58.68,85,39,60,74,56.75,75.25,72.8,57.03,60,56.57,56,66,59,62.5,57.5,53,51.57,59.06,51.34,54.58,60,55.52,59.26,73.5,78.91,73.38,53.31,48,59.79,52.34,64.17,47.53,58,74.25,61.96,66,55.5
