Date 05/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.92,63,,
Unit:(Rs./Kg.),Wheat,31.6,54,,
,Atta (Wheat),36.87,71,,
,Gram Dal,87.26,140,,
,Tur/Arhar Dal,119.14,183,,
,Urad Dal,114.77,157,,
,Moong Dal,110.66,148,,
,Masoor Dal,89.21,140,,
,Sugar,46.16,60,,
,Milk @,58.98,83,,
,Groundnut Oil (Packed),189.26,279,,
,Mustard Oil (Packed),185.67,249,,
,Vanaspati (Packed),156.64,231,,
,Soya Oil (Packed),147.3,198,,
,Sunflower Oil (Packed),161.09,253,,
,Palm Oil (Packed),130.23,177,,
,Gur,56.38,128,,
,Tea Loose,273.67,600,,
,Salt Pack (Iodised),21.46,33,,
,Potato,25.87,58,,
,Onion,28.41,60,,
,Tomato,49.91,120,,
