,Date 15/09/2026
Rice,46.39
Broken Rice,33.73
Wheat,31.48
Atta (Wheat),37.19
Gram Dal,88.09
Tur/Arhar Dal,124.43
Urad Dal,122.8
Moong Dal,112.13
Masoor Dal,90.65
Sugar,59.25
Milk @,61.32
Groundnut Oil (Packed),209.95
Mustard Oil (Packed),201.82
Vanaspati (Packed),168.15
Soya Oil (Packed),166.12
Sunflower Oil (Packed),193.22
Palm Oil (Packed),151.7
Gur,67.0
Tea Loose,277.48
Salt Pack (Iodised),22.24
Potato,22.79
Onion,53.92
Tomato,39.19
Bajra (whole),38.55
Jowar (whole),45.05
Maida (wheat),42.59
Ragi (whole),55.98
Suji (whole),47.61
Besan,96.7
Desi Ghee,698.02
Butter (Pasteurised),60.54
Eggs,83.83
Brinjal,43.12
Black Pepper (whole),88.52
Coriander (whole),43.83
Cummin Seed (whole),40.77
Red Chillies (whole),30.46
Turmeric (powder),16.74
Banana,49.89
Ginger,36.31
Garlic,45.13
