Date 29/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.04,63,,
Unit:(Rs./Kg.),Wheat,31.67,54,,
,Atta (Wheat),37.13,71,,
,Gram Dal,86.34,140,,
,Tur/Arhar Dal,115.64,190,,
,Urad Dal,113.57,155,,
,Moong Dal,110.29,148,,
,Masoor Dal,89.56,142,,
,Sugar,46.39,60,,
,Milk @,59.04,83,,
,Groundnut Oil (Packed),189.04,279,,
,Mustard Oil (Packed),186.08,260,,
,Vanaspati (Packed),156.17,231,,
,Soya Oil (Packed),147.04,198,,
,Sunflower Oil (Packed),165.66,242,,
,Palm Oil (Packed),132.48,187,,
,Gur,56.82,137,,
,Tea Loose,270.08,650,,
,Salt Pack (Iodised),21.52,36,,
,Potato,24.85,57,,
,Onion,28.79,65,,
,Tomato,51.63,120,,
