,Date 10/09/2026
Rice,46.34
Broken Rice,33.79
Wheat,31.8
Atta (Wheat),37.43
Gram Dal,87.88
Tur/Arhar Dal,124.08
Urad Dal,122.77
Moong Dal,112.04
Masoor Dal,90.5
Sugar,60.2
Milk @,61.28
Groundnut Oil (Packed),209.47
Mustard Oil (Packed),202.01
Vanaspati (Packed),168.21
Soya Oil (Packed),166.28
Sunflower Oil (Packed),193.04
Palm Oil (Packed),151.52
Gur,66.94
Tea Loose,276.75
Salt Pack (Iodised),22.35
Potato,22.8
Onion,53.1
Tomato,39.19
Bajra (whole),38.61
Jowar (whole),45.09
Maida (wheat),42.54
Ragi (whole),55.87
Suji (whole),47.41
Besan,96.48
Desi Ghee,699.29
Butter (Pasteurised),60.4
Eggs,83.5
Brinjal,42.86
Black Pepper (whole),88.48
Coriander (whole),43.72
Cummin Seed (whole),40.63
Red Chillies (whole),30.59
Turmeric (powder),16.67
Banana,49.89
Ginger,36.91
Garlic,45.27
