,Date 10/03/2026
Rice,43.1
Wheat,31.34
Atta (Wheat),36.96
Gram Dal,85.6
Tur/Arhar Dal,121.5
Urad Dal,116.89
Moong Dal,110.58
Masoor Dal,89.48
Sugar,46.34
Milk @,59.11
Groundnut Oil (Packed),195.11
Mustard Oil (Packed),186.27
Vanaspati (Packed),156.33
Soya Oil (Packed),151.32
Sunflower Oil (Packed),177.06
Palm Oil (Packed),137.11
Gur,56.81
Tea Loose,272.43
Salt Pack (Iodised),21.75
Potato,21.35
Onion,26.3
Tomato,28.77
Bajra (whole),37.65
Jowar (whole),43.83
Maida (wheat),41.59
Ragi (whole),54.54
Suji (whole),46.37
Besan,95.51
Desi Ghee,680.09
Butter (Pasteurised),58.93
Eggs,79.58
Brinjal,38.95
Black Pepper (whole),86.94
Coriander (whole),37.65
Cummin Seed (whole),40.23
Red Chillies (whole),28.03
Turmeric (powder),16.35
Banana,47.7
Ginger,24.84
Garlic,37.67
