Date 19/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.69,68,27,40,50,53.67,44.5,41.74,37.94,44,38,38,52.5,54.5,38.75,39,41,44.75,39.81,53.97,49.5,47,38.08,47.95,37.67,49.91,44.08,40.05,65,40.14,42.16,49,57.91,56.1,38,39.53,37.5,43.86
Unit:(Rs./Kg.),Wheat,31.94,58,22,30,,43.33,45,38.18,29.17,31,33.43,31,40,50,34.75,29.25,24,33.5,32.06,42.61,47.4,,30.12,39.89,43.25,42.13,44,38.6,48,28.57,29.65,38.5,46.13,40.6,,28.7,28.25,30.5
,Atta (Wheat),37.07,70,29,35,69,47.67,43,39.83,34.77,36,38.57,35,47,45,36,34.25,36.08,40.38,36.44,44.52,47.42,43,34.66,44.53,42.44,48.27,49.58,43.1,47,34.14,33.81,39.33,55.15,44.3,41.75,33.99,35.75,40.14
,Gram Dal,95.55,145,70,90,117.5,107.33,105.5,97.09,89.54,90,99.43,100,103,113.5,93.88,92,97,99.63,93.27,95.42,113.45,131,92.98,99.58,109.67,101.38,101.8,100.32,102,97.93,89.35,100.83,102.5,90.2,100.33,89.33,88.75,91.43
,Tur/Arhar Dal,161.45,193,123,160,168.5,169.33,179.5,168.04,154.77,165,157,167,171,166.5,164.63,166.75,163.58,164.71,159.13,157.74,174.09,173,156.7,166.37,178.2,157.29,168.14,157.75,185,169.07,161.71,170,172.06,163.8,159.67,153.32,165.25,164.14
,Urad Dal,125.04,167,85,125,151,133.67,125.75,111.29,121.49,125,117.57,147,150.5,155,122.88,118.25,133,128.38,123.5,131.03,142.4,141,118.64,129.11,133,135.29,123.57,120.05,149,131.71,120,126.67,137.06,128.5,128.67,120.83,119.5,125.1
,Moong Dal,115.96,160,87,120,128.5,122.67,118.25,116,112.86,116,115.29,127,125,131.5,110.25,117.25,116.17,122.25,113.31,118.13,131.27,128.5,109.3,120.95,123.11,140.25,123.46,115,113,116,107.32,126.67,121.32,115.9,113.75,111.47,115.75,117.86
,Masoor Dal,90.28,140,74,90,101.5,93,101.25,91.74,80.49,90,91.86,90,95.5,100.5,86.63,86.25,87.25,104.63,82.56,93.58,96.91,130,86.54,94.32,88.11,98.45,98.62,83.6,98,93,86.65,94.17,92.53,92.7,105.25,87.45,102.5,97.33
,Sugar,44.94,60,34,45,52,44.33,53.75,47.57,44.86,45,43.14,45,43,44,43,44.5,47.17,50,45.31,42.94,43.75,55,42.72,43.58,49.33,52,49.92,45.16,49,44.71,42.77,51.5,44.15,40.2,50.5,43.96,43.75,46.1
,Milk @,58.71,83,39,60,73.5,59.33,75.25,72.67,56.4,60,61.29,56,66,59,63.25,58.25,53,53.25,59.27,51.32,54.92,60,55.46,59.21,73.67,78.73,72.91,53.44,48,59.71,52.41,64.17,47.53,58,74,61.91,62,56.52
