,Date 07/09/2026
Rice,46.4
Broken Rice,33.85
Wheat,31.69
Atta (Wheat),37.41
Gram Dal,87.74
Tur/Arhar Dal,123.92
Urad Dal,122.68
Moong Dal,111.96
Masoor Dal,90.62
Sugar,61.09
Milk @,61.12
Groundnut Oil (Packed),209.42
Mustard Oil (Packed),201.86
Vanaspati (Packed),167.76
Soya Oil (Packed),165.87
Sunflower Oil (Packed),192.65
Palm Oil (Packed),151.46
Gur,67.05
Tea Loose,275.04
Salt Pack (Iodised),22.28
Potato,22.85
Onion,51.63
Tomato,39.05
Bajra (whole),38.56
Jowar (whole),45.04
Maida (wheat),42.62
Ragi (whole),56.0
Suji (whole),47.38
Besan,96.25
Desi Ghee,698.37
Butter (Pasteurised),60.33
Eggs,83.61
Brinjal,42.76
Black Pepper (whole),88.5
Coriander (whole),43.41
Cummin Seed (whole),40.71
Red Chillies (whole),30.44
Turmeric (powder),16.69
Banana,49.97
Ginger,36.86
Garlic,45.0
