Date 28/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.63,63,,
Unit:(Rs./Kg.),Wheat,31.24,55,,
,Atta (Wheat),36.71,71,,
,Gram Dal,86.81,140,,
,Tur/Arhar Dal,125.56,185,,
,Urad Dal,117.06,157,,
,Moong Dal,111.54,149,,
,Masoor Dal,88.19,130,,
,Sugar,45.9,62,,
,Milk @,59.07,82,,
,Groundnut Oil (Packed),188.26,279,,
,Mustard Oil (Packed),170.61,242,,
,Vanaspati (Packed),155.16,231,,
,Soya Oil (Packed),146.69,191,,
,Sunflower Oil (Packed),161.04,231,,
,Palm Oil (Packed),134.12,177,,
,Gur,54.97,137,,
,Tea Loose,271.22,600,,
,Salt Pack (Iodised),21.46,31,,
,Potato,24.68,60,,
,Onion,26.32,62,,
,Tomato,25.34,100,,
