Date 09/01/2026,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,64,,
Unit:(Rs./Kg.),Wheat,31.68,54,,
,Atta (Wheat),37.08,71,,
,Gram Dal,85.99,140,,
,Tur/Arhar Dal,115.91,182,,
,Urad Dal,113.98,155,,
,Moong Dal,110.49,148,,
,Masoor Dal,89.52,143,,
,Sugar,46.37,60,,
,Milk @,59.2,85,,
,Groundnut Oil (Packed),189.66,284,,
,Mustard Oil (Packed),186.58,260,,
,Vanaspati (Packed),156.57,231,,
,Soya Oil (Packed),147.22,196,,
,Sunflower Oil (Packed),167.02,231,,
,Palm Oil (Packed),132.87,173,,
,Gur,57.08,130,,
,Tea Loose,270.43,560,,
,Salt Pack (Iodised),21.55,36,,
,Potato,24.24,55,,
,Onion,29.35,70,,
,Tomato,49.62,120,,
