,Date 08/06/2026
Rice,43.36
Wheat,30.86
Atta (Wheat),36.87
Gram Dal,85.26
Tur/Arhar Dal,122.72
Urad Dal,118.37
Moong Dal,111.49
Masoor Dal,89.89
Sugar,46.74
Milk @,60.26
Groundnut Oil (Packed),202.34
Mustard Oil (Packed),191.11
Vanaspati (Packed),162.53
Soya Oil (Packed),161.32
Sunflower Oil (Packed),186.45
Palm Oil (Packed),146.3
Gur,58.04
Tea Loose,273.73
Salt Pack (Iodised),21.77
Potato,21.59
Onion,26.65
Tomato,39.1
Bajra (whole),38.12
Jowar (whole),44.31
Maida (wheat),41.9
Ragi (whole),54.69
Suji (whole),47.03
Besan,95.63
Desi Ghee,688.98
Butter (Pasteurised),59.21
Eggs,79.86
Brinjal,41.14
Black Pepper (whole),87.77
Coriander (whole),39.54
Cummin Seed (whole),40.85
Red Chillies (whole),29.15
Turmeric (powder),16.56
Banana,48.96
Ginger,29.08
Garlic,38.24
