Date 04/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.45,68,29,40,51,53.25,44.5,41.35,37.97,44,37.88,40,47.67,54.5,37.83,38.25,41,45,38.94,53.48,49,47,38.12,48.21,50,37.2,49.73,43,38.95,65,39.87,42.19,49.33,58,56.1,37.75,39.45,37.75,42.27
Unit:(Rs./Kg.),Wheat,31.63,58,22,28,,42.25,45,37.18,28.89,31,33.13,30,39.33,50,34.33,29.25,24,33.33,31.61,42.77,47.82,,29.78,40.05,48,43,42.13,42.57,38.4,48,27,29.35,38.83,45.87,40.5,,28.29,28,30.57
,Atta (Wheat),36.67,70,28,35,68.5,44.75,43,39.48,34.63,36,37.75,34,44.67,45,35.33,34.25,35.83,39.14,36.11,44.52,46.38,43,34.45,44.42,49,41.8,48.27,50.14,42.32,47,32.93,33.58,39.33,54.91,44.4,40,33.7,35.5,38.93
,Gram Dal,95.31,145,70,90,105,101,103,96.57,88.77,90,95.75,100,99.33,106.5,95,91.75,99.08,97.71,93.06,95.39,112.33,132.5,92.94,99.89,117,110.17,101.13,100,97.55,99,99.67,89.68,97,102.73,91.4,99.67,89.18,87,91.67
,Tur/Arhar Dal,161.89,195,124,160,180.5,170.25,179.5,169.3,155.6,165,157.75,163,162,166.5,166,167,166.33,165.67,160.11,158.06,175.08,177,157,166,178,178.6,156.14,164.75,157.6,185,168.93,163.23,170,170.71,163.4,165,153.99,164,165.13
,Urad Dal,125.18,170,85,120,166,130.75,128.25,112.24,120.91,125,116.25,143,142.33,155,123.5,118,133.25,127.57,122.28,131.1,142.36,141,118.16,130.05,135,133,135.29,123.57,120.21,149,131.33,120.26,124.33,138.94,128.5,129,120.47,120,125.53
,Moong Dal,116.09,160,87,120,140,120,118.25,116.65,113.17,116,114.13,123,125.67,131.5,111.17,116.75,115.58,122.71,113.06,118.29,131.33,128.5,109.66,120.47,128,122.7,139,121.86,114.05,115,117.13,107.35,126.67,121.94,115.8,110.75,111.95,116.25,116.07
,Masoor Dal,89.89,140,74,90,105,92.25,101.25,91.22,80.74,90,90.38,90,92.33,100.5,83.83,86,87.42,104.86,81.89,93.32,96.92,131.5,86.6,93.47,92,87.6,98.45,98.36,83.15,95,93.33,86.68,95.83,92.34,93.3,103.25,87.54,96,94
,Sugar,44.98,60,35,44,55,44,53.75,47.3,44.76,45,43.5,45,44,44,43.17,44.75,47,50.29,45.35,42.97,44,55,42.81,43.72,54,49.4,51.82,50.15,44.8,48,44.73,42.71,51.5,44.18,40.3,49.5,43.95,44,46.27
,Milk @,58.73,83,39,60,74,56.75,75.25,72.55,56.24,60,59.13,56,65.67,59,63,58.25,52.92,54.86,59.31,51.45,54.46,60,55.67,58.83,,73.6,78.55,72,53.6,48,60.07,52.6,64.17,47.45,58.3,74.25,61.99,62,55.4
