Date 04/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.48,62,,
Unit:(Rs./Kg.),Wheat,31.37,52,,
,Atta (Wheat),37.18,65,,
,Gram Dal,85.24,102,,
,Tur/Arhar Dal,124.76,167,,
,Urad Dal,117.11,151,,
,Moong Dal,110.66,150,,
,Masoor Dal,86.43,109,,
,Sugar,45.48,60,,
,Milk @,58.55,80,,
,Groundnut Oil (Packed),188.43,251,,
,Mustard Oil (Packed),169.92,242,,
,Vanaspati (Packed),153.75,214,,
,Soya Oil (Packed),147.25,186,,
,Sunflower Oil (Packed),161.08,211,,
,Palm Oil (Packed),136.51,189,,
,Gur,53.75,120,,
,Tea Loose,265.11,527,,
,Salt Pack (Iodised),21.59,31,,
,Potato,22.7,55,,
,Onion,26.23,67,,
,Tomato,20.72,93,,
