,Date 28/05/2026
Rice,42.43
Wheat,30.88
Atta (Wheat),36.96
Gram Dal,84.54
Tur/Arhar Dal,121.78
Urad Dal,118.01
Moong Dal,111.11
Masoor Dal,89.26
Sugar,46.84
Milk @,60.67
Groundnut Oil (Packed),203.09
Mustard Oil (Packed),189.7
Vanaspati (Packed),161.11
Soya Oil (Packed),161.09
Sunflower Oil (Packed),185.38
Palm Oil (Packed),145.42
Gur,58.26
Tea Loose,267.34
Salt Pack (Iodised),21.55
Potato,20.4
Onion,25.47
Tomato,36.78
Bajra (whole),37.51
Jowar (whole),43.56
Maida (wheat),41.63
Ragi (whole),55.04
Suji (whole),46.56
Besan,95.31
Desi Ghee,686.82
Butter (Pasteurised),59.14
Eggs,79.51
Brinjal,40.46
Black Pepper (whole),87.37
Coriander (whole),39.28
Cummin Seed (whole),41.67
Red Chillies (whole),29.21
Turmeric (powder),16.57
Banana,48.7
Ginger,27.34
Garlic,37.43
