Date 29/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.47,65,,
Unit:(Rs./Kg.),Wheat,32.34,58,,
,Atta (Wheat),37.99,71,,
,Gram Dal,87.79,140,,
,Tur/Arhar Dal,130.46,182,,
,Urad Dal,119.11,156,,
,Moong Dal,112.48,145,,
,Masoor Dal,88.22,130,,
,Sugar,45.77,60,,
,Milk @,58.78,80,,
,Groundnut Oil (Packed),189.63,279,,
,Mustard Oil (Packed),169.79,229,,
,Vanaspati (Packed),153.64,209,,
,Soya Oil (Packed),147.3,211,,
,Sunflower Oil (Packed),159.23,211,,
,Palm Oil (Packed),139.08,181,,
,Gur,54.32,130,,
,Tea Loose,269.18,520,,
,Salt Pack (Iodised),21.22,31,,
,Potato,23.28,60,,
,Onion,31.79,80,,
,Tomato,20.26,100,,
