,Date 04/09/2026
Rice,45.39
Broken Rice,32.8
Wheat,31.75
Atta (Wheat),37.62
Gram Dal,87.55
Tur/Arhar Dal,124.01
Urad Dal,122.6
Moong Dal,111.64
Masoor Dal,90.13
Sugar,61.93
Milk @,61.57
Groundnut Oil (Packed),209.13
Mustard Oil (Packed),200.43
Vanaspati (Packed),167.35
Soya Oil (Packed),165.41
Sunflower Oil (Packed),192.39
Palm Oil (Packed),152.09
Gur,68.09
Tea Loose,275.22
Salt Pack (Iodised),22.26
Potato,22.23
Onion,50.57
Tomato,39.37
Bajra (whole),38.96
Jowar (whole),45.47
Maida (wheat),42.45
Ragi (whole),56.69
Suji (whole),47.11
Besan,96.91
Desi Ghee,699.73
Butter (Pasteurised),60.52
Eggs,84.6
Brinjal,42.98
Black Pepper (whole),88.49
Coriander (whole),43.65
Cummin Seed (whole),41.76
Red Chillies (whole),30.75
Turmeric (powder),16.64
Banana,50.07
Ginger,36.96
Garlic,45.14
