,Date 06/02/2026
Rice,43.16
Wheat,31.76
Atta (Wheat),37.28
Gram Dal,86.17
Tur/Arhar Dal,119.99
Urad Dal,115.6
Moong Dal,110.82
Masoor Dal,89.37
Sugar,46.43
Milk @,59.18
Groundnut Oil (Packed),191.91
Mustard Oil (Packed),186.7
Vanaspati (Packed),157.08
Soya Oil (Packed),149.16
Sunflower Oil (Packed),172.34
Palm Oil (Packed),135.42
Gur,57.18
Tea Loose,273.19
Salt Pack (Iodised),21.55
Potato,22.69
Onion,28.1
Tomato,35.14
Bajra (whole),37.88
Jowar (whole),43.82
Maida (wheat),41.94
Ragi (whole),54.5
Suji (whole),46.97
Besan,95.88
Desi Ghee,678.07
Butter (Pasteurised),59.03
Eggs,82.97
Brinjal,40.78
Black Pepper (whole),87.2
Coriander (whole),37.76
Cummin Seed (whole),41.32
Red Chillies (whole),28.11
Turmeric (powder),16.38
Banana,47.36
Ginger,25.06
Garlic,39.26
