,Date 05/05/2026
Rice,43.09
Wheat,30.94
Atta (Wheat),36.74
Gram Dal,85.07
Tur/Arhar Dal,122.27
Urad Dal,117.89
Moong Dal,111.59
Masoor Dal,89.83
Sugar,46.6
Milk @,60.12
Groundnut Oil (Packed),200.98
Mustard Oil (Packed),188.48
Vanaspati (Packed),160.22
Soya Oil (Packed),158.7
Sunflower Oil (Packed),185.93
Palm Oil (Packed),144.01
Gur,58.09
Tea Loose,274.88
Salt Pack (Iodised),21.7
Potato,20.9
Onion,25.1
Tomato,35.15
Bajra (whole),37.7
Jowar (whole),43.97
Maida (wheat),41.65
Ragi (whole),54.78
Suji (whole),46.96
Besan,95.43
Desi Ghee,684.63
Butter (Pasteurised),59.12
Eggs,78.51
Brinjal,40.42
Black Pepper (whole),87.08
Coriander (whole),38.77
Cummin Seed (whole),40.93
Red Chillies (whole),28.6
Turmeric (powder),16.41
Banana,48.0
Ginger,25.4
Garlic,36.76
