,Date 24/03/2026
Rice,43.15
Wheat,31.34
Atta (Wheat),37.03
Gram Dal,85.71
Tur/Arhar Dal,122.14
Urad Dal,117.57
Moong Dal,110.99
Masoor Dal,89.4
Sugar,46.37
Milk @,59.25
Groundnut Oil (Packed),197.31
Mustard Oil (Packed),186.97
Vanaspati (Packed),157.82
Soya Oil (Packed),153.94
Sunflower Oil (Packed),181.28
Palm Oil (Packed),141.02
Gur,56.99
Tea Loose,272.38
Salt Pack (Iodised),21.69
Potato,20.82
Onion,25.64
Tomato,27.7
Bajra (whole),37.9
Jowar (whole),44.01
Maida (wheat),41.71
Ragi (whole),54.61
Suji (whole),46.64
Besan,95.55
Desi Ghee,681.55
Butter (Pasteurised),58.99
Eggs,78.42
Brinjal,38.03
Black Pepper (whole),87.2
Coriander (whole),38.05
Cummin Seed (whole),40.67
Red Chillies (whole),28.41
Turmeric (powder),16.4
Banana,48.15
Ginger,24.92
Garlic,37.04
