Date 13/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.01,62,,
Unit:(Rs./Kg.),Wheat,31.7,54,,
,Atta (Wheat),37.02,71,,
,Gram Dal,86.81,140,,
,Tur/Arhar Dal,115.48,182,,
,Urad Dal,113.71,152,,
,Moong Dal,110.45,148,,
,Masoor Dal,89.45,134,,
,Sugar,46.51,60,,
,Milk @,59.36,84,,
,Groundnut Oil (Packed),186.83,280,,
,Mustard Oil (Packed),186.75,246,,
,Vanaspati (Packed),155.7,231,,
,Soya Oil (Packed),146.32,198,,
,Sunflower Oil (Packed),164.37,242,,
,Palm Oil (Packed),132.62,187,,
,Gur,57.29,128,,
,Tea Loose,271.82,560,,
,Salt Pack (Iodised),21.3,35,,
,Potato,26.58,54,,
,Onion,26.83,61,,
,Tomato,40.22,120,,
