Date 18/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.57,68,27,40,50,53.5,44.5,42.32,37.97,44,38.57,38,52.5,54.5,38.75,39,41.08,44.38,39.06,53.65,49.57,47.5,37.94,47.89,37.4,49.67,43.36,39.67,65,40,42.54,49,57.88,56.1,38,39.67,37.5,43.83
Unit:(Rs./Kg.),Wheat,32.01,58,22,29,,42.5,45,36.5,29.28,31,34.29,31,39.5,50,34.75,29.25,24,33.5,32,42.73,47,,30.27,39.89,43.44,41.67,43.33,38.4,48,28.07,29.79,38.5,46.19,40.6,,28.54,28.75,30.8
,Atta (Wheat),37.09,70,29,35,69,45.75,43,39.24,34.78,36,38.14,35,47,44.5,36,34.25,36.17,40.13,36.47,44.08,46.71,43,34.71,44.53,42.7,48.67,48.93,43.33,47,33.79,33.71,39.33,55.09,44.4,41.75,34,35.75,39.96
,Gram Dal,95.58,145,70,90,116,101.75,105.5,95.04,89.22,90,97.29,100,102.5,113.5,93.88,92,97.58,99.5,93.19,96.42,113.08,131,93.08,99.68,109.67,101.29,101.18,100.55,102,97.71,90.07,100.83,102.12,89.9,100.33,89.58,88.25,91.22
,Tur/Arhar Dal,161.75,193,123,160,168.5,169.5,179.5,167.75,154.89,165,159.29,167,171,166.5,164.63,166.75,164.5,165.57,158.71,158.92,174.62,180,156.48,166.53,178.2,157.6,164.11,158.14,185,169,160.86,170,171.88,163.8,165.33,153.56,164.75,164.43
,Urad Dal,124.96,167,85,120,152,131.75,125.75,112.39,120.81,125,119.29,147,150.5,155,123.38,118.25,133.75,128.38,123.76,131.65,142.67,141,118.71,129.05,133,127.4,121.25,121.1,149,130.71,119.82,126.67,136.71,128.1,128.67,120.68,119.5,125.17
,Moong Dal,116.06,160,87,120,134,122,118.25,115.52,112.64,116,114.86,127,126.5,131.5,110.25,117.25,117,122.25,113.76,117.92,132.23,126.5,109.33,121,122.8,139.83,121.33,115.52,113,115.93,106.89,126.67,121.32,115.8,113.75,111.85,115.75,118.04
,Masoor Dal,90.4,160,74,90,101.5,93.25,101.25,91.32,80.44,90,90.14,90,95,100.5,86.88,86,87.17,104.88,82.82,92.85,102.15,130,86.44,94.37,88.3,98.11,98.13,83.48,98,93.21,86.61,94.17,92.53,92.6,105.25,87.74,102.25,97.65
,Sugar,44.99,60,33,45,53,44,53.75,47.54,44.67,45,43.86,45,43,44,43,44.75,47.08,49.88,45.41,42.96,43.79,55,42.77,43.58,49.4,52,49.93,44.95,49,44.57,42.74,51.5,44.15,40.2,50.5,43.96,43.67,46.13
,Milk @,58.69,83,39,60,74,56.75,75.25,72.62,56.28,60,56.29,56,66,59,63.25,58.25,52.92,53.25,59.25,51.27,54.57,60,55.71,59.05,73.6,79.22,73.38,53.5,48,59.5,52.88,64.17,47.56,58.1,74.5,61.78,63.67,56.04
,Groundnut Oil (Packed),195.7,275,142,198,214,176.25,169,202,198.69,183,199.17,216,214.5,241,189.13,211.5,225.75,,193.46,184.19,229.33,,194.64,198.32,,172,,197,242,233.15,187.46,,214.68,169.3,,199.63,172.33,211.89
,Mustard Oil (Packed),168.23,221,124,165,176,177.75,179,170.29,161.31,139,164.14,178,191.5,184,175.38,155.25,186.25,189,172.12,173.58,197.3,175,165.02,183.72,166.9,177.63,155.67,182.48,150,171.5,152.78,188.67,184.56,163,179,161.99,161.67,165.17
,Vanaspati (Packed),143.72,209,92,143,166,133.75,132,145.59,138.74,124,129.43,167,170.5,162,140.5,138.75,157.08,155.75,148.59,130.96,171.75,167,139.91,149.16,157,133.2,156,148.6,157,167.29,129.08,140.83,156.47,112.56,139,141.56,142,138.14
,Soya Oil (Packed),142.33,198,102,154,,136,143,143.87,141.94,119,134.43,159,151.5,168.5,140.75,138.25,146.73,147.88,148.24,139.81,146,194,143.02,150.68,152.9,134.44,159.6,142.71,,156.86,131.08,151.5,,114.38,151,141.15,140.33,136.57
,Sunflower Oil (Packed),149.79,253,105,159,134,154.75,168.33,149.63,155.33,120,139.86,159,161.5,165,143.63,145.5,150.75,164.2,158.8,145.31,159.43,,147.61,155.32,202.5,149,171.5,154.57,136,161.33,139.53,172.75,153.59,137.6,171.5,147.93,155,147.17
,Palm Oil (Packed),130.39,170,91,144,123.5,135.75,,123.27,121.07,100,128.33,141,127,141,137.43,116.75,114.5,133,127.06,127.58,149.73,,118.25,138.31,125,121.5,146,137.65,121,137.73,113.88,,139.97,124,130.67,121.03,93,122.2
,Gur,55.18,127,35,50,73,59.5,83.25,61.83,47.86,55,49.43,60,64.5,59,55.5,53.75,49.67,52.75,51.65,51.85,62.08,70,50.15,55.32,78.4,104.75,76.78,53.86,60,51.71,45.44,61,58,53.2,73.25,52.03,58.33,53.96
,Tea Loose,271.4,520,154,200,321,299.25,355,250.13,275.06,269,217,245,300,322.5,209.38,239.5,268.92,314.63,256.29,241.35,233.91,480,228.92,307.42,367.8,484.78,322.08,284.72,335,275,296.57,378.33,284.64,284.5,235.25,237.78,267.67,272.48
,Salt Pack (Iodised),22.03,30,10,27,20,19.5,19.5,13.08,23.42,28,18.43,27,28,25.5,18.75,24.75,27.83,27.88,25.71,18.15,15.07,28,16.13,24.16,18.9,29.78,18.27,25.95,26,26.43,20.2,21.33,24.61,19.78,10.5,26.01,28.67,23.83
,Potato,37.51,70,22,35,66.5,43.25,40,33.8,33.08,39,38.57,33,38.5,50,38.13,32.75,38.5,37.13,35.18,40.73,50.92,42.5,34.13,41.68,40.6,49,42.13,33.62,50,31.79,38.15,43,51.18,36.4,39.75,31.23,33.67,32.83
,Onion,58.16,117,28,60,109.5,55,67,65.8,53.28,52,53.29,60,52.5,56,55.13,54.75,64.75,65.38,62.29,47.85,73.69,70,46.83,56.32,76.9,62.44,74.93,58.43,58,58.93,49.44,80,68.15,46.1,79,51.95,58.33,63.7
,Tomato,51.01,120,19,50,110,35,74.25,62.12,54.83,60,40.57,53,38,41,42.38,65.5,57.58,61.63,60.88,32.92,33.77,80,46.1,45.79,55.9,92.56,74.8,45.52,31,52.64,53.44,67.5,31.94,42.5,63.5,49.15,46.67,59.52
