Date 04/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.54,68,27,40,51,53,46,42.07,37.97,44,37.67,37,50,56,40.43,39.33,41.08,48,38.94,51.63,49.54,50,38.16,47.89,37.7,49.91,43.36,38.95,65,40.53,42.42,48.8,58,56,38.5,39.28,38.5,44.09
Unit:(Rs./Kg.),Wheat,32.03,58,22,30,,42.75,45,36.86,29.21,31,34,30,40,50,35,29.33,25,33.2,32,42.59,46.55,,29.98,40.21,44.22,42.13,43.33,38.94,48,30.07,29.61,39.2,46.41,40.5,,28.76,26,30.8
,Atta (Wheat),37.08,70,29,35,66,46.25,43.67,39.52,35,36,38.67,35,47,45.5,36.57,35,36.5,39.17,36.71,44.22,45.62,44,34.55,44.42,43,48.27,50.29,43.15,47,35.47,33.58,40.2,55.03,43.9,43.5,34.08,36,40.09
,Gram Dal,94.41,140,70,90,112.5,96.8,106.67,94.74,89.05,90,97.33,97,105,113.5,93,91.33,96,97.17,91.75,95,114.15,126.5,92.04,97.63,110,101.38,102,93.14,109,94.73,89.03,103,101.53,89.8,102.25,88.17,94,90.43
,Tur/Arhar Dal,159.93,193,116,160,182,169.2,174.33,160.93,155.55,165,159.78,147,161.5,166,162.86,162.33,163,160,157.82,154.03,174.15,167,155.02,166,178.6,157.57,164.11,157.86,185,164.27,161.03,170,171.26,163.2,155,151.49,168,164.48
,Urad Dal,124.56,173,85,120,153,131.2,126.67,111.42,121.34,125,119.56,138,146.5,155,121.71,117.33,133.17,128.67,122.41,129.59,143,136.5,118.29,128.79,133,135.29,122.13,119,151,132.6,120.1,135,137,128.6,128.75,118.84,118.5,125.39
,Moong Dal,114.99,160,87,120,126,121.6,116.67,114.85,112.71,116,115.22,118,124,131.5,107.71,114,115.83,121.33,113.29,114.5,132.54,130,108.59,119.95,123.4,139.63,122.07,113.29,115,115.33,107.06,128,120.26,116.1,112,109.21,114.5,117.83
,Masoor Dal,89.94,168,73,90,100,92.6,103.33,90.26,80.61,90,92.89,90,95.5,100.5,86.86,86,87.83,104.17,81.53,92.59,102.92,135,86.45,93.26,88.1,98.45,98.33,82.81,100,93.07,86.48,94,92.77,92.7,103.75,86.32,96.5,97.04
,Sugar,44.82,60,36,44,54.5,44,55,47.44,44.61,45,43.44,45,42.5,44.5,43,44,47.17,50,45.29,42.69,43.46,55,42.57,43.37,49,52.09,49.93,45,49,44.2,42.73,51.8,44.03,40.2,49.5,43.77,44.5,46
,Milk @,58.83,83,39,60,74.5,56.75,75.67,72.74,56.55,60,59.56,56,66,59,64,59,53.08,55.67,58.94,51.41,54.77,60,55.45,59.26,73.5,79.18,73.23,53.57,48,60.13,52.76,64,47.56,58.5,74.25,61.93,66.5,56.13
,Groundnut Oil (Packed),195.02,275,132,198,249.5,175.5,169,202,197.76,183,199,216,211.5,242.5,190.29,208.33,225.75,,199.38,187.09,226.33,,194.04,195.74,,152.5,,206,247,233,187.13,,211.76,167.6,,199.01,187.5,204.38
,Mustard Oil (Packed),169,221,124,181,173.5,176.5,179,169,166.47,139,163.44,178,194,184,176.14,157.67,188.17,190.8,171.24,174.94,202.1,190.5,164.71,182.61,167.4,181.11,157.13,180.05,137,170.53,154.23,186.8,185.7,165.2,178.75,161.52,169,166
,Vanaspati (Packed),144.93,209,92,143,166,134.75,138,147.35,143.03,124,131.56,167,176.5,163.5,140.29,144.67,163.17,163.17,148.06,132.34,179.67,176,139.9,149.37,157,136.43,156,148.43,146,167.53,130.83,139.4,159.62,114.78,158,140.92,152.5,139.36
,Soya Oil (Packed),143.29,198,102,154,,143.5,149,147.38,146.55,119,137,161,154,169.5,145.14,141.67,149.64,158.33,148.24,140.38,144,194,141.76,150.26,156.9,139.73,159.53,146.71,,157.27,133.4,152.2,,116.38,164.5,141.17,148.5,137.09
,Sunflower Oil (Packed),152.66,253,108,162,139,155.5,166,152.52,157.52,120,142.11,163,166,166.5,145.43,150.67,151.75,162.75,161,149.91,166.46,,148.67,156.58,220,148.25,171.5,154.57,135,161.77,143.59,166.5,156.26,140.9,173.33,148.93,161.5,148.04
,Palm Oil (Packed),132.55,166,91,144,119,137.5,,123.06,126.07,100,127.13,143,130,152,138.5,121.67,114.5,130.67,126.82,130.03,153,,121.14,140.44,129.5,120.57,146,141.33,121,140.25,113.88,,141.71,127.2,151.67,122.11,,124.37
,Gur,55,130,34,50,76,59,85.67,61.3,48.05,55,52,60,65,61.5,55.43,50.67,50.08,53.83,50.76,52.03,62,70,49.65,54.95,79.4,106.1,76.67,53.1,61,50.8,45.13,61.25,57.5,53.4,69.75,51.68,60.5,53.96
,Tea Loose,270.59,520,154,200,300,303,340,245.78,274.78,269,224.89,245,304,322.5,209.29,243.67,271.5,303,248.06,243.5,236.33,480,228.53,308.42,372.3,491.45,321,281.5,345,274.93,293.77,372,284.36,284.9,228.25,238.03,285.5,272.78
