Date 07/01/2026,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.18,64,,
Unit:(Rs./Kg.),Wheat,31.65,54,,
,Atta (Wheat),37.06,71,,
,Gram Dal,86.14,140,,
,Tur/Arhar Dal,116.04,190,,
,Urad Dal,113.84,155,,
,Moong Dal,110.36,148,,
,Masoor Dal,89.71,143,,
,Sugar,46.43,60,,
,Milk @,59.31,85,,
,Groundnut Oil (Packed),188.94,284,,
,Mustard Oil (Packed),186.74,260,,
,Vanaspati (Packed),156.52,231,,
,Soya Oil (Packed),147.07,198,,
,Sunflower Oil (Packed),166.5,242,,
,Palm Oil (Packed),132.98,187,,
,Gur,57.22,130,,
,Tea Loose,272.96,650,,
,Salt Pack (Iodised),21.55,36,,
,Potato,24.31,55,,
,Onion,29.33,70,,
,Tomato,50.69,120,,
