Date 20/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.63,62,,
Unit:(Rs./Kg.),Wheat,31.24,55,,
,Atta (Wheat),36.77,71,,
,Gram Dal,86.82,140,,
,Tur/Arhar Dal,126.56,185,,
,Urad Dal,117.67,157,,
,Moong Dal,111.43,149,,
,Masoor Dal,88.28,130,,
,Sugar,45.88,62,,
,Milk @,58.94,80,,
,Groundnut Oil (Packed),188.82,279,,
,Mustard Oil (Packed),170.66,242,,
,Vanaspati (Packed),154.71,231,,
,Soya Oil (Packed),147.04,192,,
,Sunflower Oil (Packed),160.77,231,,
,Palm Oil (Packed),135.04,173,,
,Gur,54.67,120,,
,Tea Loose,271.27,600,,
,Salt Pack (Iodised),21.41,31,,
,Potato,24.51,60,,
,Onion,26.56,67,,
,Tomato,23.83,100,,
