,Date 07/03/2026
Rice,42.79
Wheat,31.34
Atta (Wheat),37.18
Gram Dal,85.33
Tur/Arhar Dal,120.89
Urad Dal,116.89
Moong Dal,110.63
Masoor Dal,89.16
Sugar,46.41
Milk @,59.34
Groundnut Oil (Packed),193.63
Mustard Oil (Packed),186.71
Vanaspati (Packed),156.68
Soya Oil (Packed),150.85
Sunflower Oil (Packed),176.21
Palm Oil (Packed),135.9
Gur,56.75
Tea Loose,269.84
Salt Pack (Iodised),21.41
Potato,20.9
Onion,26.04
Tomato,28.33
Bajra (whole),38.31
Jowar (whole),44.48
Maida (wheat),41.56
Ragi (whole),54.73
Suji (whole),46.21
Besan,95.62
Desi Ghee,682.3
Butter (Pasteurised),58.77
Eggs,79.8
Brinjal,38.43
Black Pepper (whole),86.81
Coriander (whole),37.34
Cummin Seed (whole),40.68
Red Chillies (whole),27.91
Turmeric (powder),16.13
Banana,47.94
Ginger,24.33
Garlic,37.6
