,Date 22/07/2026
Rice,44.74
Broken Rice,32.94
Wheat,31.23
Atta (Wheat),37.01
Gram Dal,86.16
Tur/Arhar Dal,123.0
Urad Dal,120.83
Moong Dal,111.59
Masoor Dal,90.18
Sugar,48.52
Milk @,60.8
Groundnut Oil (Packed),205.53
Mustard Oil (Packed),195.56
Vanaspati (Packed),165.39
Soya Oil (Packed),164.23
Sunflower Oil (Packed),188.98
Palm Oil (Packed),148.36
Gur,59.44
Tea Loose,276.02
Salt Pack (Iodised),22.04
Potato,22.81
Onion,34.95
Tomato,41.09
Bajra (whole),38.22
Jowar (whole),44.37
Maida (wheat),42.14
Ragi (whole),55.33
Suji (whole),47.12
Besan,96.06
Desi Ghee,691.84
Butter (Pasteurised),59.66
Eggs,86.89
Brinjal,43.19
Black Pepper (whole),88.14
Coriander (whole),41.48
Cummin Seed (whole),41.05
Red Chillies (whole),29.68
Turmeric (powder),16.66
Banana,49.97
Ginger,37.28
Garlic,42.96
