,Date 17/06/2026
Rice,43.61
Broken Rice,32.8
Wheat,31.06
Atta (Wheat),36.91
Gram Dal,85.82
Tur/Arhar Dal,122.74
Urad Dal,118.87
Moong Dal,111.8
Masoor Dal,90.1
Sugar,47.01
Milk @,60.82
Groundnut Oil (Packed),203.06
Mustard Oil (Packed),192.32
Vanaspati (Packed),163.74
Soya Oil (Packed),162.61
Sunflower Oil (Packed),187.99
Palm Oil (Packed),147.46
Gur,58.84
Tea Loose,276.2
Salt Pack (Iodised),21.84
Potato,21.91
Onion,27.31
Tomato,44.65
Bajra (whole),38.44
Jowar (whole),44.62
Maida (wheat),42.05
Ragi (whole),54.81
Suji (whole),47.37
Besan,96.11
Desi Ghee,692.41
Butter (Pasteurised),59.39
Eggs,80.95
Brinjal,42.11
Black Pepper (whole),87.92
Coriander (whole),40.33
Cummin Seed (whole),41.36
Red Chillies (whole),29.37
Turmeric (powder),16.54
Banana,49.44
Ginger,30.15
Garlic,39.24
