,Date 11/07/2026
Rice,43.53
Broken Rice,31.94
Wheat,31.05
Atta (Wheat),36.85
Gram Dal,85.29
Tur/Arhar Dal,122.54
Urad Dal,119.46
Moong Dal,110.94
Masoor Dal,89.5
Sugar,47.66
Milk @,61.08
Groundnut Oil (Packed),205.23
Mustard Oil (Packed),193.09
Vanaspati (Packed),163.39
Soya Oil (Packed),162.71
Sunflower Oil (Packed),188.43
Palm Oil (Packed),147.12
Gur,58.95
Tea Loose,273.72
Salt Pack (Iodised),21.95
Potato,22.06
Onion,33.53
Tomato,42.78
Bajra (whole),38.2
Jowar (whole),44.14
Maida (wheat),41.83
Ragi (whole),55.63
Suji (whole),46.71
Besan,95.81
Desi Ghee,692.81
Butter (Pasteurised),59.45
Eggs,84.22
Brinjal,41.8
Black Pepper (whole),88.12
Coriander (whole),41.06
Cummin Seed (whole),41.63
Red Chillies (whole),29.75
Turmeric (powder),16.57
Banana,50.07
Ginger,35.9
Garlic,41.67
