Date 22/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.7,68,27,40,50,53.4,44.5,41.25,38.11,44,38.17,38,52.5,54.5,38.75,41,41.17,44.88,39.53,53.81,49.5,47.5,38.15,47.95,37.5,50,43.57,39.37,65,40,42.13,49,57.97,55.8,37.5,39.44,36,43.82
Unit:(Rs./Kg.),Wheat,32,58,22,30,,41.2,45,37.33,29.43,31,34.17,30,40,50,34.75,30,24,33.33,32,42.84,47.1,,29.94,39.84,43.44,42.13,43.33,39.29,48,29.07,29.52,38.5,46.16,40.5,,28.78,30.5,30.89
,Atta (Wheat),36.97,70,29,35,69,44.2,43,39.71,35.03,36,38,35,47,45.5,36,33.5,36.25,40.13,36.65,44.69,45.5,43,34.33,44.47,42.7,48.27,48.93,43.37,47,34.4,33.68,39.33,55.09,44.1,41.75,34.01,35,39.86
,Gram Dal,95.26,145,70,90,117.5,99.4,106.25,96.25,89.92,90,99.83,97,103,113.5,93.88,97,96.58,99,92.31,95.28,113.58,132.5,92.88,99.16,109.67,101.38,101.18,99.05,102,96.53,89.16,100.83,102.29,89.7,100.33,88.72,86.5,91.14
,Tur/Arhar Dal,161.1,193,117,160,169.5,168.6,178.75,166.25,155.14,165,157,163,169.5,166,164.63,168.5,162.67,164.29,158.82,157.91,173.33,167,156.23,166.58,178.2,157.14,164.11,158.68,185,167.87,161.42,170,171.97,163.2,159.67,152.51,160.5,164.5
,Urad Dal,124.99,172,85,125,152,130.6,126.75,111.45,121.57,125,118.5,143,150.5,155,122.88,119,133,128.38,121.94,130.72,143.08,139.5,118.38,129.05,133,135.29,121.25,121,151,131,120,126.67,137.09,128.6,128.33,119.92,120,125.09
,Moong Dal,115.84,160,87,120,129,121.6,118,115.42,113,116,115.5,123,125,131.5,110.25,119,116.08,122.63,113.24,118.13,132.92,130,109.17,120.63,122.8,140,121.53,115.11,113,115.73,107.06,126.67,121.15,116,113.75,110.51,115.5,118.18
,Masoor Dal,90.36,160,73,90,102.5,93.2,100.75,91.08,80.78,90,89.67,90,96,100.5,86.63,88,87.33,104.5,82.18,93.63,103.5,130,86.46,94.16,88.1,98.45,98.13,83.42,98,92.87,86.71,94.17,92.57,92.6,104.5,87.05,109.5,97.5
,Sugar,44.95,60,32,45,52.5,44,53.75,47.5,44.73,45,43.67,45,43,44,43,44.5,47.17,50,45.24,42.94,43.77,55,42.67,43.63,49.5,52.27,49.93,45.21,49,44.67,42.58,51.5,44.12,40.2,50.25,43.88,44.5,46
,Milk @,58.71,83,39,60,73.5,56.75,75.25,72.68,56.41,60,58,56,66,59,63.25,57.5,53,53.25,58.94,51.28,54.15,60,55.77,59.26,73.6,78.82,73.38,53.37,48,59.87,52.53,64.17,47.53,58,74.25,61.95,62,56.09
