,Date 15/06/2026
Rice,43.65
Broken Rice,33.14
Wheat,30.79
Atta (Wheat),36.7
Gram Dal,85.57
Tur/Arhar Dal,122.43
Urad Dal,118.72
Moong Dal,111.55
Masoor Dal,90.08
Sugar,46.84
Milk @,60.45
Groundnut Oil (Packed),202.73
Mustard Oil (Packed),191.0
Vanaspati (Packed),163.16
Soya Oil (Packed),162.05
Sunflower Oil (Packed),187.35
Palm Oil (Packed),146.85
Gur,58.21
Tea Loose,273.34
Salt Pack (Iodised),21.7
Potato,21.84
Onion,27.03
Tomato,43.35
Bajra (whole),37.86
Jowar (whole),44.24
Maida (wheat),42.02
Ragi (whole),54.75
Suji (whole),46.99
Besan,95.65
Desi Ghee,688.55
Butter (Pasteurised),59.31
Eggs,80.55
Brinjal,41.57
Black Pepper (whole),87.72
Coriander (whole),40.12
Cummin Seed (whole),41.14
Red Chillies (whole),29.09
Turmeric (powder),16.48
Banana,49.02
Ginger,29.95
Garlic,38.69
