,Date 04/05/2026
Rice,42.82
Wheat,30.91
Atta (Wheat),36.75
Gram Dal,85.02
Tur/Arhar Dal,122.28
Urad Dal,117.75
Moong Dal,111.31
Masoor Dal,89.43
Sugar,46.54
Milk @,59.77
Groundnut Oil (Packed),200.0
Mustard Oil (Packed),188.89
Vanaspati (Packed),160.51
Soya Oil (Packed),158.81
Sunflower Oil (Packed),185.21
Palm Oil (Packed),143.91
Gur,57.65
Tea Loose,274.14
Salt Pack (Iodised),21.69
Potato,20.67
Onion,25.02
Tomato,34.65
Bajra (whole),37.64
Jowar (whole),43.64
Maida (wheat),41.76
Ragi (whole),54.7
Suji (whole),46.75
Besan,95.38
Desi Ghee,684.19
Butter (Pasteurised),58.95
Eggs,78.72
Brinjal,40.29
Black Pepper (whole),87.31
Coriander (whole),38.53
Cummin Seed (whole),41.04
Red Chillies (whole),28.73
Turmeric (powder),16.44
Banana,48.14
Ginger,25.63
Garlic,36.75
