,Date 27/07/2026
Rice,45.08
Broken Rice,33.24
Wheat,31.3
Atta (Wheat),37.17
Gram Dal,86.65
Tur/Arhar Dal,123.52
Urad Dal,121.38
Moong Dal,111.95
Masoor Dal,90.56
Sugar,48.91
Milk @,60.84
Groundnut Oil (Packed),206.23
Mustard Oil (Packed),196.31
Vanaspati (Packed),165.68
Soya Oil (Packed),164.12
Sunflower Oil (Packed),189.12
Palm Oil (Packed),148.43
Gur,59.65
Tea Loose,276.29
Salt Pack (Iodised),22.12
Potato,23.0
Onion,35.05
Tomato,40.11
Bajra (whole),38.13
Jowar (whole),44.39
Maida (wheat),42.31
Ragi (whole),55.47
Suji (whole),47.34
Besan,96.29
Desi Ghee,693.34
Butter (Pasteurised),59.83
Eggs,87.01
Brinjal,43.58
Black Pepper (whole),88.17
Coriander (whole),41.77
Cummin Seed (whole),41.2
Red Chillies (whole),29.76
Turmeric (powder),16.68
Banana,50.18
Ginger,37.22
Garlic,43.11
