,Date 30/06/2026
Rice,44.05
Broken Rice,32.96
Wheat,31.21
Atta (Wheat),36.94
Gram Dal,85.81
Tur/Arhar Dal,122.73
Urad Dal,119.16
Moong Dal,111.56
Masoor Dal,90.15
Sugar,47.0
Milk @,60.44
Groundnut Oil (Packed),205.03
Mustard Oil (Packed),193.51
Vanaspati (Packed),164.01
Soya Oil (Packed),162.85
Sunflower Oil (Packed),188.58
Palm Oil (Packed),147.56
Gur,58.5
Tea Loose,275.62
Salt Pack (Iodised),21.92
Potato,22.29
Onion,29.8
Tomato,42.79
Bajra (whole),38.1
Jowar (whole),44.34
Maida (wheat),42.16
Ragi (whole),54.79
Suji (whole),46.89
Besan,95.55
Desi Ghee,691.55
Butter (Pasteurised),59.54
Eggs,82.5
Brinjal,41.53
Black Pepper (whole),88.02
Coriander (whole),40.64
Cummin Seed (whole),41.08
Red Chillies (whole),29.39
Turmeric (powder),16.52
Banana,49.38
Ginger,32.18
Garlic,40.47
