Date 29/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.5,68,27,40,50,52.8,46,41.79,37.81,44,36.88,38,52,54,38.75,40.33,41.08,45,39,54.03,49,49,38.19,47.63,37.5,49.91,43.36,39.71,65,40.53,41.71,49,57.77,55.8,38.25,39.41,35,44
Unit:(Rs./Kg.),Wheat,31.98,58,22,30,,41.4,45,37.58,29.3,31,33.5,30,39.5,51,34.75,29.33,25,33.33,32.06,42.84,47.27,,30,40,44.11,42.13,43.33,38.93,48,29.73,29.55,38.5,46.46,40.5,,28.82,26,30.9
,Atta (Wheat),37.09,70,29,35,65,44.4,43.67,39.96,35.05,36,38.25,35,47,47,35.75,35,36.58,40.13,36.59,44.59,47.08,43,34.66,44.63,43,48.27,50.29,43.25,47,35.27,33.58,39.33,54.53,44.1,42,34.22,37,39.64
,Gram Dal,94.7,142,70,90,110,98.4,106.67,95.67,89.35,90,97.63,97,104,112,93.88,94,96.17,98.38,91.5,95.16,114.5,131,92.79,99.05,109.5,101.38,101.36,95.14,102,95.93,88.87,100.83,101.83,89.8,101.25,88.45,95,90.45
,Tur/Arhar Dal,160.23,193,117,160,174,169.8,174.33,162.13,155.49,165,158.25,152,168,167,164.38,167.33,163.17,164,158.18,154.88,174.17,170,155.02,167.16,179.2,157.57,163.89,157.19,185,165.53,162.45,170,171.23,163.2,159,151.66,165,164.5
,Urad Dal,124.44,173,85,120,150,131.2,126.67,110.32,121.16,125,119.38,138,150.5,155,122.88,119,133.42,128.38,122.24,130.19,143.27,139.5,118.7,129.21,133,135.29,120.88,119.1,151,132.6,119.68,126.67,136.93,128.6,127,119.07,115,125.5
,Moong Dal,115.41,160,90,120,120,121.4,116.67,115.58,112.95,116,115.25,118,125,125,110.25,117.67,115.25,123.13,113.71,116.69,132.58,130,109.47,120.74,123.7,139.38,121.4,113.81,113,115.33,107.23,126.67,120.27,115.9,113.25,109.78,115,118.09
,Masoor Dal,90.17,160,73,90,100,93.8,103.33,91.83,80.68,90,92.75,90,96,98,86.5,88,87.67,104,82.41,93.56,103.25,130,86.3,94.26,87.7,98.45,98.33,83.19,98,93.47,86.71,94.17,92.08,92.5,103.25,86.65,98,97.5
,Sugar,44.84,60,35,44,54,43.6,55,47.46,44.66,45,42.86,45,43,44,43,44.67,47.25,50.13,45.12,42.81,43.62,55,42.6,43.37,49,52.18,49.93,45.14,49,44.13,42.77,51.5,44.03,40.2,49.75,43.74,45,45.95
,Milk @,58.81,83,39,60,74,58.6,75.67,72.67,56.09,60,62.57,56,66,62,62.86,59,53,53.25,59.06,51.28,54.77,60,55.85,59.26,73.5,79.09,73.23,53.24,48,59.86,52.6,64.17,48.1,58,74.25,61.89,67,56.14
,Groundnut Oil (Packed),194.59,288,132,176,228,172.4,165,195.67,197.18,183,199.14,216,214.5,236,189.13,208,225.75,,198.69,186.88,227.33,,195.19,196,,153,,197.4,247,232.92,187.27,,213.1,168.5,,199.08,179,213.67
,Mustard Oil (Packed),169.07,221,124,181,173,176,179,170.17,166.4,139,163.25,178,191.5,181,175.63,156,188.17,190.86,170.29,173.09,200.67,189,165.04,182.5,167.2,181.33,156.07,180.95,137,170.33,152.77,188.67,187.04,163.8,179.25,161.99,157,165
,Vanaspati (Packed),144.57,209,92,143,177,131.8,137,147.39,143.31,124,128.88,167,173.5,170,140.5,143.67,162.67,159.38,147.88,131.45,179.25,180,140.68,149.11,157,136.71,156,148.9,146,166.47,128.63,140.83,160.57,114.33,139,141.08,157,139.59
,Soya Oil (Packed),143.22,198,101,154,,143.5,149,147.21,145.91,119,134.63,161,152.5,172,143.25,142.33,149.18,154.5,148.24,139.44,148,194,143.72,150.26,154.2,139.36,159.13,146.57,,158.47,131.67,151.5,,116.13,152.75,141.27,142,137.68
,Sunflower Oil (Packed),151.99,253,108,159,134,151.2,167.5,150.89,157.24,120,139.88,163,162,161,144.13,148,151.75,163.4,160.67,149.19,163,,149.57,155.68,220,148.25,171.5,154.71,135,161.62,141.91,166.5,157.37,139,175,148.81,166,148.09
,Palm Oil (Packed),131.29,166,90,144,106,128,,121.4,125.81,100,129.14,141,127,150,138.14,121.67,114.5,133,125.71,129,151.1,,124.05,139.63,129.5,120.57,146,136.29,121,140.25,111.56,,142.8,124.6,134.33,121.9,,123.15
,Gur,55,130,35,50,72,59,85.67,62,47.29,55,52.86,60,65,60,55.29,53,50.08,53,50.71,52.28,60.67,70,49.72,54.89,78.4,106.8,76.67,53.76,58,51.2,45.32,61,57.77,53.1,72.25,51.78,57,53.77
,Tea Loose,271.87,520,154,250,315,276.8,340,245.08,274.03,269,234,245,300,330,209.29,241.67,271.5,315.38,247.88,243.63,231.1,480,229.74,308.42,370.3,491.64,321,289.33,337,274.67,296.11,378.33,283.55,284.5,231.75,237.66,280,272.18
,Salt Pack (Iodised),21.94,31,9,27,18,19.6,20,13.25,23.37,28,19.86,27,28,26,18.86,26.33,27.92,27.88,24.94,17.84,15.08,28,16.3,24.16,18.9,29.82,18.33,25.9,26,26.73,19.79,21.33,24.43,19.6,10.5,25.84,30,23.68
,Potato,37.59,70,24,35,60,42.2,40,34.25,33.08,39,39.14,37,38,47,38.13,35,37.83,39,35.06,40.59,50.5,42.5,33.39,42.42,41,50.18,41.4,35.95,55,34.33,37.74,44.33,51.3,36.4,39.25,31.39,35,32.5
,Onion,54,100,22,60,100,51.2,60.33,57.67,49.81,52,55.14,50,50.5,67,44.88,50.67,58.17,62.75,54.65,46.8,75.83,70,44.04,56.58,70.7,66.45,74.8,55.86,60,53.07,47.71,71.17,62.43,46.1,63,46.73,60,56.45
,Tomato,51.53,127,21,50,100,40.2,73,61.96,54.64,60,42.57,50,35.5,45,44.88,55.33,58.08,56.63,53.53,37.28,43.67,80,44.48,43.79,58.4,92,73.27,53.33,41,52.2,52.55,67.83,44.2,42,67,46.19,43,60.14
