Date 14/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.84,64,,
Unit:(Rs./Kg.),Wheat,32.75,55,,
,Atta (Wheat),38.05,71,,
,Gram Dal,90.59,140,,
,Tur/Arhar Dal,141.3,180,,
,Urad Dal,121.66,161,,
,Moong Dal,112.79,150,,
,Masoor Dal,89.02,130,,
,Sugar,45.14,60,,
,Milk @,58.39,83,,
,Groundnut Oil (Packed),193,280,,
,Mustard Oil (Packed),169.28,228,,
,Vanaspati (Packed),149.74,209,,
,Soya Oil (Packed),144.76,202,,
,Sunflower Oil (Packed),155.75,206,,
,Palm Oil (Packed),136.59,176,,
,Gur,54.32,130,,
,Tea Loose,271.3,520,,
,Salt Pack (Iodised),21.4,31,,
,Potato,25.85,65,,
,Onion,36.2,80,,
,Tomato,23.53,100,,
