Date 23/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.29,64,,
Unit:(Rs./Kg.),Wheat,31.73,54,,
,Atta (Wheat),37.09,71,,
,Gram Dal,86.49,140,,
,Tur/Arhar Dal,115.86,190,,
,Urad Dal,113.81,155,,
,Moong Dal,110.45,148,,
,Masoor Dal,89.79,142,,
,Sugar,46.48,60,,
,Milk @,58.98,85,,
,Groundnut Oil (Packed),189.29,286,,
,Mustard Oil (Packed),186.25,257,,
,Vanaspati (Packed),156.91,231,,
,Soya Oil (Packed),146.63,198,,
,Sunflower Oil (Packed),165.71,242,,
,Palm Oil (Packed),133.09,187,,
,Gur,56.96,128,,
,Tea Loose,271.48,650,,
,Salt Pack (Iodised),21.56,36,,
,Potato,25.6,55,,
,Onion,28.97,60,,
,Tomato,50.96,120,,
