Date 20/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.04,65,,
Unit:(Rs./Kg.),Wheat,32.8,57,,
,Atta (Wheat),37.67,70,,
,Gram Dal,92.61,140,,
,Tur/Arhar Dal,151.98,187,,
,Urad Dal,123.46,166,,
,Moong Dal,113.59,150,,
,Masoor Dal,89.16,130,,
,Sugar,44.67,60,,
,Milk @,58.57,82,,
,Groundnut Oil (Packed),193.38,290,,
,Mustard Oil (Packed),168.5,236,,
,Vanaspati (Packed),147.76,209,,
,Soya Oil (Packed),143.84,191,,
,Sunflower Oil (Packed),154.12,209,,
,Palm Oil (Packed),135.09,176,,
,Gur,54.65,130,,
,Tea Loose,270.67,520,,
,Salt Pack (Iodised),21.96,31,,
,Potato,30.36,70,,
,Onion,39,87,,
,Tomato,30.04,100,,
