Date 20/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.63,68,27,40,51,53.25,44.5,41.04,37.89,44,38.57,38,52.5,54.5,38.29,39,41,44.75,39.13,53.81,50,47,38.06,47.95,37.5,49.7,43.62,39.87,65,39.93,42.17,49,58,55.7,37.5,39.43,37.67,42.84
Unit:(Rs./Kg.),Wheat,31.92,58,22,30,,42.5,45,37.64,29.4,31,34.43,31,40,50,35.14,29.25,24,33.33,32.25,42.75,47,,29.94,39.74,43.44,42.14,44,39,48,28.79,29.52,38.5,46.06,40.4,,28.67,29,31.43
,Atta (Wheat),36.94,70,29,35,69,46,43,39.65,35,36,38,35,47,45,35.71,34.25,36.08,40.13,36.19,44.59,46.69,43,34.51,44.53,42.7,48.3,48.38,43.47,47,34.21,33.76,39.33,54.94,44.2,41.75,33.96,35,39.63
,Gram Dal,95.42,145,70,90,117.5,101.75,106.25,96.35,89.6,90,96.71,100,103,113.5,94.29,92,96.92,99.5,91.73,95.44,114.25,131,92.61,99.68,109.67,101.57,97.55,102.07,102,97.07,89.62,100.83,102.3,89.7,100.33,89.28,88.67,92.53
,Tur/Arhar Dal,161.46,193,120,160,169.5,169.5,178.75,166.96,154.97,165,159,167,170.5,166.5,166.43,166.75,163.5,165.29,159,158.41,174.75,167,156.53,166.37,178.2,158.33,164.63,158.13,185,168.57,160.79,170,172.15,163.6,159.67,152.85,164,165.95
,Urad Dal,125.08,167,85,120,152,131.75,126.75,112.48,120.89,125,119,147,150.5,155,122,118.25,133,128.38,121.25,131.03,144.09,141,118.51,129.05,133,132.83,118.13,121.2,149,130.86,120.03,126.67,137.52,128.4,128.33,120.82,121,125.42
,Moong Dal,116.05,160,87,120,129,122,118,115.52,112.91,116,114.86,127,125,131.5,108.71,117.25,116.17,122.5,112.25,118.47,133.17,128.5,109.29,120.84,122.8,138.57,121.64,116.53,113,116.07,107.83,126.67,121.33,115.9,113.75,111.27,115.33,119.16
,Masoor Dal,90.42,160,74,90,102.5,93.5,100.75,90.96,80.57,90,90.43,90,96,100.5,86,86,87.25,104.63,81.69,93.78,103.58,130,86.49,94.26,88.1,98.3,97.64,85,98,93.07,86.41,94.17,92.45,92.2,105.25,87.38,104.67,97.37
,Sugar,44.96,60,33,45,52,44,53.75,47.43,44.77,45,44,45,43,44,43.33,44.75,47.17,50,45.25,42.94,43.92,55,42.78,43.58,49.4,52,50.38,44.93,49,44.64,42.57,51.5,44.18,40.2,50.25,43.9,44.33,46.21
,Milk @,58.66,83,39,60,73.5,56.75,75.25,72.76,56.54,60,56.43,56,66,59,63,58.25,53,53.25,58.67,51.19,54.92,60,55.49,59.21,73.6,79.1,73.75,53.21,48,59.79,52.86,64.17,47.55,58,74.25,61.77,63.33,55.74
