Date 26/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.96,61,,
Unit:(Rs./Kg.),Wheat,31.8,54,,
,Atta (Wheat),37.16,69,,
,Gram Dal,85.11,120,,
,Tur/Arhar Dal,112.73,160,,
,Urad Dal,113.07,157,,
,Moong Dal,108.94,148,,
,Masoor Dal,87.68,124,,
,Sugar,46.09,60,,
,Milk @,58.42,85,,
,Groundnut Oil (Packed),186.6,286,,
,Mustard Oil (Packed),186.99,242,,
,Vanaspati (Packed),155.13,230,,
,Soya Oil (Packed),146.68,192,,
,Sunflower Oil (Packed),163.92,211,,
,Palm Oil (Packed),133.12,169,,
,Gur,56.34,135,,
,Tea Loose,261.42,560,,
,Salt Pack (Iodised),21.55,35,,
,Potato,24.81,60,,
,Onion,24.93,60,,
,Tomato,36.93,120,,
