Date 09/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.14,65,,
Unit:(Rs./Kg.),Wheat,31.58,54,,
,Atta (Wheat),37.1,71,,
,Gram Dal,86.54,140,,
,Tur/Arhar Dal,115.48,182,,
,Urad Dal,113.45,155,,
,Moong Dal,110.27,148,,
,Masoor Dal,89.68,142,,
,Sugar,46.63,60,,
,Milk @,59.39,85,,
,Groundnut Oil (Packed),188.33,286,,
,Mustard Oil (Packed),185.99,249,,
,Vanaspati (Packed),155.79,231,,
,Soya Oil (Packed),147.3,198,,
,Sunflower Oil (Packed),164.45,242,,
,Palm Oil (Packed),132.31,187,,
,Gur,57.19,137,,
,Tea Loose,273.25,560,,
,Salt Pack (Iodised),21.57,35,,
,Potato,26.03,65,,
,Onion,26.47,60,,
,Tomato,47.61,120,,
