Date 31/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.03,64,,
Unit:(Rs./Kg.),Wheat,32.87,57,,
,Atta (Wheat),37.9,71,,
,Gram Dal,91.63,140,,
,Tur/Arhar Dal,146.35,185,,
,Urad Dal,122.31,165,,
,Moong Dal,113.33,150,,
,Masoor Dal,88.99,130,,
,Sugar,44.79,60,,
,Milk @,58.55,82,,
,Groundnut Oil (Packed),193.12,280,,
,Mustard Oil (Packed),168.93,228,,
,Vanaspati (Packed),148.52,209,,
,Soya Oil (Packed),144.24,198,,
,Sunflower Oil (Packed),154.82,211,,
,Palm Oil (Packed),135.79,176,,
,Gur,54.66,130,,
,Tea Loose,272.32,520,,
,Salt Pack (Iodised),21.48,31,,
,Potato,27.65,70,,
,Onion,36.74,83,,
,Tomato,25.22,100,,
