,Date 19/03/2026
Rice,42.49
Wheat,30.93
Atta (Wheat),36.79
Gram Dal,85.62
Tur/Arhar Dal,122.56
Urad Dal,117.53
Moong Dal,110.74
Masoor Dal,89.26
Sugar,46.43
Milk @,59.3
Groundnut Oil (Packed),198.54
Mustard Oil (Packed),186.02
Vanaspati (Packed),158.09
Soya Oil (Packed),151.89
Sunflower Oil (Packed),181.05
Palm Oil (Packed),142.27
Gur,57.12
Tea Loose,270.04
Salt Pack (Iodised),21.71
Potato,20.21
Onion,25.77
Tomato,28.46
Bajra (whole),37.96
Jowar (whole),44.06
Maida (wheat),41.6
Ragi (whole),55.38
Suji (whole),46.88
Besan,96.07
Desi Ghee,680.37
Butter (Pasteurised),59.03
Eggs,79.48
Brinjal,38.33
Black Pepper (whole),86.88
Coriander (whole),37.91
Cummin Seed (whole),40.9
Red Chillies (whole),28.73
Turmeric (powder),16.43
Banana,48.31
Ginger,24.93
Garlic,37.24
