Date 17/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.32,68,27,40,55,44.5,41.6,37.76,44,39.83,40,52,43.33,37,41.3,40.5,39.38,53.74,47,37.88,48.05,38.5,49.67,40,39.69,41.67,45,57.04,59,39.76,35,41.85
Unit:(Rs./Kg.),Wheat,32.16,58,24,30,45,45,40.5,29.43,31,35.33,30,39.5,36.33,29,24,34.33,33,42.59,,30.33,39.95,43,42.5,38.83,27.85,29.5,38,45.14,39,28.52,26,30.83
,Atta (Wheat),37.47,65,29,35,49,43,40.2,35.24,36,39.67,34,47,38.67,32.5,36.1,42,36.13,43.7,,34.79,44.68,42.75,48.11,43.5,33.46,33.67,38,54.74,39,34.05,37,40.31
,Gram Dal,95.3,145,73,90,108,105.5,96.8,89.52,90,98.17,100,102.5,91.33,92,98.2,101,94.5,96.04,145,92.38,99.68,108.33,103.17,102.5,98.15,94.17,95,102.17,91,90.15,95,89.15
,Tur/Arhar Dal,160.89,190,123,160,169,179.5,169.6,157.05,165,162.17,167,171,163,163,163.4,163.25,157.88,157.52,,156.55,166.68,178,158.2,158.88,168.62,164.17,170,170.61,159,153.46,165,164.08
,Urad Dal,125.04,160,88,120,135.5,125.75,112.15,121.67,125,120.17,147,150.5,131.67,113.5,134.5,128.75,121.38,131.07,152,119.6,128.84,133,131.4,119.88,130.85,125.17,130,136.17,125,120.85,115,123.69
,Moong Dal,115.59,152,87,120,124,118.25,116.67,111.14,116,116.17,127,127.5,120.67,114,116.4,124.25,111.88,118.04,130,109.76,120.95,123.25,138.67,116.88,115.23,113.33,130,120.48,109,111.69,115,115.38
,Masoor Dal,89.99,140,76,90,95,101.25,92.07,80.38,90,90.83,90,94.5,90.33,80,87.8,111.25,84.5,93.52,140,86.76,94.26,88.75,98.67,85.5,93,84.33,90,91.5,92,87.68,98,95
,Sugar,44.73,60,39,44,44.5,53.75,47.33,44.86,45,44.17,45,43,42.33,44.5,46.7,49.5,45.14,43,50,42.69,43.53,49,52,45.63,44.69,41.67,50,44.35,39,44.08,45,46.31
,Milk @,58.4,83,39,60,62,75.25,72.73,57,60,58.33,56,66,62,57.5,53,52.25,59.29,51.3,60,55.43,59.05,74.25,79.22,53.25,60,52.5,60,46.22,52,61.69,67,56.77
,Groundnut Oil (Packed),195.07,272,142,214.5,178,169,173,201.71,183,204.4,216,214.5,189.33,221,225.75,,212,183.26,,192.66,198.32,,,212,233.64,177.33,,215.96,155,202.42,179,210.57
,Mustard Oil (Packed),168.23,212,131,165,169.5,179,171.13,161.85,139,169.83,180,191.5,181,161,186,187.5,170.43,173.48,185,163.44,183.78,163,176,183.38,171,145.5,165,186.81,169,163.54,157,166.92
,Vanaspati (Packed),143.57,181,98,143,139.5,132,150.11,140.05,124,132.17,165,170.5,137.67,138,156.1,149.75,143.86,131.96,,137.46,149.11,152,123.8,149.88,166.62,122.5,121,159.52,130,143.08,157,139.92
,Soya Oil (Packed),143.07,171,106,154,144,143.25,144.4,141.5,119,137.83,159,151.5,143.33,140,146.13,147,142,139.11,,141.29,150.21,148.75,134.22,154.33,157.23,127.5,140,,107,143.03,142,137.38
,Sunflower Oil (Packed),150,194,105,154,163,169.33,154.8,157.11,120,143.67,159,160.5,145.67,146.5,150.75,162,146.67,146.19,,146.07,154.63,,146.67,158.13,159,140.6,,154.22,133,148.78,166,145.67
,Palm Oil (Packed),130.75,166,91,139,139,,118.71,121.69,100,128.33,139,127,146.67,118.5,114.5,135,120.29,128.33,,115.44,138.31,,117.4,140.71,139.9,106,,143.7,124,123.76,,122.67
,Gur,55.04,130,39,50,59.5,83.25,61.53,48.62,55,51,60,64,54,53,49.8,51.25,53.86,51.48,80,50.19,55.47,78.5,109.38,54.38,51.46,45,60,58.96,51,51.75,57,55
,Tea Loose,267.22,520,154,210,313.5,355,253.13,280.19,269,211.17,245,295,210.67,236.5,275.8,324.25,244.29,238.3,480,230.07,307.42,325.75,484.78,280,271.08,316,460,284.94,267,236.66,280,259.08
,Salt Pack (Iodised),22.49,30,10,27,20.5,19.5,14.13,22.9,28,19.33,27,28,19.67,23,27.8,27.75,25.29,17.74,28,15.98,24.16,23,29.78,27,26.23,20,20,24.91,20,26,30,23
,Potato,36.68,60,22,35,46,40,33.73,33.62,39,40,33,38.5,39.67,32,38.7,37.25,32.75,40.59,45,34.67,41.58,39.5,46.33,33.88,31.46,37.5,40,51.17,31,31.02,35,31.54
,Onion,56.61,90,28,60,49.5,69.5,65.53,52.48,52,57,63,52.5,53.33,57,65.7,67,64.25,46.74,70,48.17,56.21,76.75,64.11,59.5,61.46,50.17,80,70.43,41,52.32,65,62.38
,Tomato,50.15,130,19,50,36.5,74.25,63,54.33,60,40.33,52,38.5,40.67,76.5,57.3,66.25,61.25,33.11,80,48.62,46.63,48.75,94.44,41.63,51,55.67,80,31.26,30,49.97,50,57.92
