,Date 28/01/2026
Rice,43.2
Wheat,31.79
Atta (Wheat),37.13
Gram Dal,85.89
Tur/Arhar Dal,117.14
Urad Dal,114.38
Moong Dal,110.48
Masoor Dal,89.73
Sugar,46.46
Milk @,59.38
Groundnut Oil (Packed),190.07
Mustard Oil (Packed),186.26
Vanaspati (Packed),156.68
Soya Oil (Packed),148.16
Sunflower Oil (Packed),169.97
Palm Oil (Packed),133.98
Gur,57.31
Tea Loose,272.59
Salt Pack (Iodised),21.44
Potato,23.16
Onion,28.72
Tomato,41.36
Bajra (whole),37.97
Jowar (whole),43.61
Maida (wheat),41.95
Ragi (whole),54.35
Suji (whole),47.22
Besan,96.38
Desi Ghee,677.22
Butter (Pasteurised),59.06
Eggs,83.74
Brinjal,41.6
Black Pepper (whole),86.97
Coriander (whole),37.99
Cummin Seed (whole),41.21
Red Chillies (whole),27.98
Turmeric (powder),16.29
Banana,47.53
Ginger,24.93
Garlic,38.9
