Date 18/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.16,63,,
Unit:(Rs./Kg.),Wheat,31.68,54,,
,Atta (Wheat),37.02,71,,
,Gram Dal,86.92,140,,
,Tur/Arhar Dal,115.74,182,,
,Urad Dal,113.88,155,,
,Moong Dal,110.47,148,,
,Masoor Dal,89.64,134,,
,Sugar,46.55,60,,
,Milk @,59.37,84,,
,Groundnut Oil (Packed),187.75,280,,
,Mustard Oil (Packed),186.97,246,,
,Vanaspati (Packed),156.45,231,,
,Soya Oil (Packed),146.85,191,,
,Sunflower Oil (Packed),164.71,231,,
,Palm Oil (Packed),132.94,179,,
,Gur,57.38,128,,
,Tea Loose,272.29,560,,
,Salt Pack (Iodised),21.39,35,,
,Potato,26.92,60,,
,Onion,26.86,62,,
,Tomato,45.43,120,,
