Date 09/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.14,67,,
Unit:(Rs./Kg.),Wheat,33.34,55,,
,Atta (Wheat),38.32,66,,
,Gram Dal,89.54,140,,
,Tur/Arhar Dal,140.3,187,,
,Urad Dal,120.85,161,,
,Moong Dal,111.67,150,,
,Masoor Dal,87.85,130,,
,Sugar,44.69,60,,
,Milk @,57.94,83,,
,Groundnut Oil (Packed),191.61,280,,
,Mustard Oil (Packed),170.8,217,,
,Vanaspati (Packed),148.93,209,,
,Soya Oil (Packed),145.5,192,,
,Sunflower Oil (Packed),154.49,211,,
,Palm Oil (Packed),135.88,176,,
,Gur,53.28,130,,
,Tea Loose,263.77,520,,
,Salt Pack (Iodised),21.51,31,,
,Potato,24.51,57,,
,Onion,34.05,77,,
,Tomato,20.99,100,,
