,Date 14/07/2026
Rice,44.47
Broken Rice,33.1
Wheat,31.07
Atta (Wheat),36.99
Gram Dal,86.13
Tur/Arhar Dal,122.9
Urad Dal,119.76
Moong Dal,111.53
Masoor Dal,90.34
Sugar,47.6
Milk @,60.71
Groundnut Oil (Packed),205.88
Mustard Oil (Packed),194.02
Vanaspati (Packed),164.82
Soya Oil (Packed),163.47
Sunflower Oil (Packed),188.75
Palm Oil (Packed),147.75
Gur,59.19
Tea Loose,276.7
Salt Pack (Iodised),21.9
Potato,22.84
Onion,33.97
Tomato,41.54
Bajra (whole),38.12
Jowar (whole),44.41
Maida (wheat),42.17
Ragi (whole),55.21
Suji (whole),47.13
Besan,95.92
Desi Ghee,692.84
Butter (Pasteurised),59.63
Eggs,84.56
Brinjal,42.4
Black Pepper (whole),88.35
Coriander (whole),41.12
Cummin Seed (whole),41.16
Red Chillies (whole),29.49
Turmeric (powder),16.57
Banana,49.91
Ginger,36.78
Garlic,42.42
