,Date 15/07/2026
Rice,44.49
Broken Rice,33.09
Wheat,31.18
Atta (Wheat),37.07
Gram Dal,85.99
Tur/Arhar Dal,123.01
Urad Dal,120.08
Moong Dal,111.67
Masoor Dal,90.49
Sugar,47.64
Milk @,60.69
Groundnut Oil (Packed),206.07
Mustard Oil (Packed),194.15
Vanaspati (Packed),164.68
Soya Oil (Packed),163.48
Sunflower Oil (Packed),188.63
Palm Oil (Packed),147.72
Gur,59.0
Tea Loose,274.67
Salt Pack (Iodised),21.95
Potato,22.8
Onion,34.07
Tomato,41.34
Bajra (whole),38.23
Jowar (whole),44.6
Maida (wheat),42.2
Ragi (whole),55.24
Suji (whole),47.01
Besan,95.83
Desi Ghee,691.77
Butter (Pasteurised),59.62
Eggs,85.1
Brinjal,42.46
Black Pepper (whole),88.37
Coriander (whole),41.19
Cummin Seed (whole),40.84
Red Chillies (whole),29.54
Turmeric (powder),16.68
Banana,49.84
Ginger,36.89
Garlic,42.46
