,Date 14/06/2026
Rice,42.75
Broken Rice,32.05
Wheat,30.89
Atta (Wheat),36.9
Gram Dal,83.75
Tur/Arhar Dal,120.86
Urad Dal,118.51
Moong Dal,110.13
Masoor Dal,88.17
Sugar,46.31
Milk @,59.56
Groundnut Oil (Packed),202.48
Mustard Oil (Packed),190.32
Vanaspati (Packed),160.53
Soya Oil (Packed),162.87
Sunflower Oil (Packed),187.06
Palm Oil (Packed),148.2
Gur,57.03
Tea Loose,262.83
Salt Pack (Iodised),21.94
Potato,20.54
Onion,25.59
Tomato,41.38
Bajra (whole),37.85
Jowar (whole),43.98
Maida (wheat),40.83
Ragi (whole),55.62
Suji (whole),44.62
Besan,94.66
Desi Ghee,685.77
Butter (Pasteurised),58.99
Eggs,79.15
Brinjal,39.29
Black Pepper (whole),86.64
Coriander (whole),38.07
Cummin Seed (whole),39.99
Red Chillies (whole),28.7
Turmeric (powder),16.21
Banana,47.01
Ginger,29.22
Garlic,36.36
