,Date 18/05/2026
Rice,43.21
Wheat,30.79
Atta (Wheat),36.67
Gram Dal,85.23
Tur/Arhar Dal,122.42
Urad Dal,118.14
Moong Dal,111.35
Masoor Dal,90.06
Sugar,46.65
Milk @,60.2
Groundnut Oil (Packed),201.19
Mustard Oil (Packed),188.88
Vanaspati (Packed),161.02
Soya Oil (Packed),159.63
Sunflower Oil (Packed),185.59
Palm Oil (Packed),144.04
Gur,57.97
Tea Loose,274.43
Salt Pack (Iodised),21.77
Potato,20.97
Onion,25.66
Tomato,36.57
Bajra (whole),37.51
Jowar (whole),43.73
Maida (wheat),41.9
Ragi (whole),54.83
Suji (whole),46.95
Besan,95.54
Desi Ghee,684.45
Butter (Pasteurised),59.03
Eggs,79.08
Brinjal,40.2
Black Pepper (whole),87.54
Coriander (whole),38.89
Cummin Seed (whole),40.92
Red Chillies (whole),28.93
Turmeric (powder),16.5
Banana,48.1
Ginger,27.26
Garlic,37.37
