Date 31/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.08,65,,
Unit:(Rs./Kg.),Wheat,32.33,58,,
,Atta (Wheat),38.06,65,,
,Gram Dal,87.1,129,,
,Tur/Arhar Dal,130.53,182,,
,Urad Dal,118.89,155,,
,Moong Dal,111.9,143,,
,Masoor Dal,87.95,120,,
,Sugar,45.76,60,,
,Milk @,59.04,80,,
,Groundnut Oil (Packed),190.25,253,,
,Mustard Oil (Packed),170.7,229,,
,Vanaspati (Packed),153.09,209,,
,Soya Oil (Packed),146.74,192,,
,Sunflower Oil (Packed),158.75,211,,
,Palm Oil (Packed),138.75,177,,
,Gur,54.41,130,,
,Tea Loose,267.84,520,,
,Salt Pack (Iodised),21.35,31,,
,Potato,22.73,60,,
,Onion,31.53,80,,
,Tomato,20.44,100,,
