Date 19/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.24,62,,
Unit:(Rs./Kg.),Wheat,33.19,57,,
,Atta (Wheat),37.98,65,,
,Gram Dal,91.66,140,,
,Tur/Arhar Dal,149.88,180,,
,Urad Dal,122.47,155,,
,Moong Dal,111.94,143,,
,Masoor Dal,87.83,130,,
,Sugar,44.21,60,,
,Milk @,58.31,82,,
,Groundnut Oil (Packed),191.99,275,,
,Mustard Oil (Packed),170.64,236,,
,Vanaspati (Packed),148.51,209,,
,Soya Oil (Packed),145.47,192,,
,Sunflower Oil (Packed),155.63,209,,
,Palm Oil (Packed),136.97,176,,
,Gur,53.38,127,,
,Tea Loose,262.55,520,,
,Salt Pack (Iodised),22.5,31,,
,Potato,28.52,65,,
,Onion,36.51,75,,
,Tomato,27.18,97,,
